id,text,sent,answer
6,A book titled for this genre features a chimeric demon who hides in a black cloud each night before being shot down by an arrow,0,"['tale', 'Tale', 'tales', 'Taketori Monogatari', 'Genji Monogatari', 'monogatari', 'The Tale of Genji', 'Tale of the Heike', 'Monogatari', 'stories', 'The Tale of the Bamboo Cutter', 'Heike Monogatari']"
6,"That book titled for this genre includes an ""Initiates' Book"" that discusses the initiation of an Empress into a Buddhist convent after her son drowns",1,"['tale', 'Tale', 'tales', 'Taketori Monogatari', 'Genji Monogatari', 'monogatari', 'The Tale of Genji', 'Tale of the Heike', 'Monogatari', 'stories', 'The Tale of the Bamboo Cutter', 'Heike Monogatari']"
6,"In a book titled for this genre, an infant princess from the moon is found inside a stalk by an old man",2,"['tale', 'Tale', 'tales', 'Taketori Monogatari', 'Genji Monogatari', 'monogatari', 'The Tale of Genji', 'Tale of the Heike', 'Monogatari', 'stories', 'The Tale of the Bamboo Cutter', 'Heike Monogatari']"
6,"This genre titles narratives ""of the Heike"" and ""of the Bamboo Cutter",3,"['tale', 'Tale', 'tales', 'Taketori Monogatari', 'Genji Monogatari', 'monogatari', 'The Tale of Genji', 'Tale of the Heike', 'Monogatari', 'stories', 'The Tale of the Bamboo Cutter', 'Heike Monogatari']"
6,""" A character marries the daughter of the Minister of the Left in a novel titled for this genre, whose title character is banished to Suma after an affair with a concubine",4,"['tale', 'Tale', 'tales', 'Taketori Monogatari', 'Genji Monogatari', 'monogatari', 'The Tale of Genji', 'Tale of the Heike', 'Monogatari', 'stories', 'The Tale of the Bamboo Cutter', 'Heike Monogatari']"
6,"Lady Aoi's husband courts Lady Utsusemi and Lady Fujitsubo in a novel whose title is named after, for 10 points, what genre ""of Genji""?",5,"['tale', 'Tale', 'tales', 'Taketori Monogatari', 'Genji Monogatari', 'monogatari', 'The Tale of Genji', 'Tale of the Heike', 'Monogatari', 'stories', 'The Tale of the Bamboo Cutter', 'Heike Monogatari']"
7,"Susie Scott argued that locations described by this word allow people to pursue ""Reinvented Identities",0,"['total prestation', 'totalitarianism', 'total war', 'total institutions', 'total social facts', 'total fertility rate', 'total']"
7,""" Locations described by this word alter people's personality through the process of resocialization, inducing conformity through reward and punishment",1,"['total prestation', 'totalitarianism', 'total war', 'total institutions', 'total social facts', 'total fertility rate', 'total']"
7,This word modifies the fertility rate that gives the expected number of children a woman will have,2,"['total prestation', 'totalitarianism', 'total war', 'total institutions', 'total social facts', 'total fertility rate', 'total']"
7,"Marcel Mauss likened ""entire social systems"" to ""social facts"" described by this word",3,"['total prestation', 'totalitarianism', 'total war', 'total institutions', 'total social facts', 'total fertility rate', 'total']"
7,"Orphanages, cloisters, and jails are among the ""institutions"" Erving Goffman described by this word",4,"['total prestation', 'totalitarianism', 'total war', 'total institutions', 'total social facts', 'total fertility rate', 'total']"
7,"Social scientists have studied the effects of unrestricted weapons use in a type of ""war"" named for this word",5,"['total prestation', 'totalitarianism', 'total war', 'total institutions', 'total social facts', 'total fertility rate', 'total']"
7,"For 10 points, what word meaning ""complete"" or ""absolute"" names an autocratic ""-ism"" similar to authoritarianism?",6,"['total prestation', 'totalitarianism', 'total war', 'total institutions', 'total social facts', 'total fertility rate', 'total']"
8,"During this war, Dona Jesus Dosamentes ""unsexed"" herself to disguise herself as a captain of one side",0,"['Mexican-American', 'Mexican-American War']"
8,The Revolt of the Polkos began after church land was nationalized during this war,1,"['Mexican-American', 'Mexican-American War']"
8,"Luis Gonzaga Cuevas helped negotiate the treaty that ended this war, which was followed up by territorial concessions in the Treaty of Mesilla",2,"['Mexican-American', 'Mexican-American War']"
8,"A force in this war attempted to use ""La Vomito,"" or yellow fever, to weaken a force that later killed the ""Six Heroes",3,"['Mexican-American', 'Mexican-American War']"
8,""" John Riley led the Saint Patrick's battalion during this war",4,"['Mexican-American', 'Mexican-American War']"
8,The winning side in this war took Chapultepec Castle after it was reinforced by Antonio Lopez de Santa Anna,5,"['Mexican-American', 'Mexican-American War']"
8,"For 10 points, name this war that was ended by the Treaty of Guadalupe Hidalgo, which was fought against America's southern neighbor",6,"['Mexican-American', 'Mexican-American War']"
9,"This piece extensively uses the motif of a descending major ninth where the second note is accented in a bergamask dance, sometimes called the ""Dance of Clowns",0,"[""Incidental Music to A Midsummer Night's Dream"", 'op', ""Midsummer Night's Dream Mendelssohn op 21"", 'Mendelssohn', '21', '61', ""Felix Mendelssohn's opus 61"", 'Mendelssohn op 61', ""Midsummer Night's Dream""]"
9,""" This piece opens with a series of whole-note woodwind chords in E major that progressively expand in range",1,"[""Incidental Music to A Midsummer Night's Dream"", 'op', ""Midsummer Night's Dream Mendelssohn op 21"", 'Mendelssohn', '21', '61', ""Felix Mendelssohn's opus 61"", 'Mendelssohn op 61', ""Midsummer Night's Dream""]"
9,"A melody beginning ""C, B, short F sharp - A"" follows a trumpet fanfare in a movement of this piece",2,"[""Incidental Music to A Midsummer Night's Dream"", 'op', ""Midsummer Night's Dream Mendelssohn op 21"", 'Mendelssohn', '21', '61', ""Felix Mendelssohn's opus 61"", 'Mendelssohn op 61', ""Midsummer Night's Dream""]"
9,"Bassoons accompany the horn melody in a nocturne from this piece that follows the song ""what hempen homespuns",3,"[""Incidental Music to A Midsummer Night's Dream"", 'op', ""Midsummer Night's Dream Mendelssohn op 21"", 'Mendelssohn', '21', '61', ""Felix Mendelssohn's opus 61"", 'Mendelssohn op 61', ""Midsummer Night's Dream""]"
9,""" This piece borrowed music from its composer's earlier concert overture on the same subject that imitates the braying of Bottom and contains a famous wedding march",4,"[""Incidental Music to A Midsummer Night's Dream"", 'op', ""Midsummer Night's Dream Mendelssohn op 21"", 'Mendelssohn', '21', '61', ""Felix Mendelssohn's opus 61"", 'Mendelssohn op 61', ""Midsummer Night's Dream""]"
9,"For 10 points, name this piece composed to accompany a Shakespeare play, by Felix Mendelssohn",5,"[""Incidental Music to A Midsummer Night's Dream"", 'op', ""Midsummer Night's Dream Mendelssohn op 21"", 'Mendelssohn', '21', '61', ""Felix Mendelssohn's opus 61"", 'Mendelssohn op 61', ""Midsummer Night's Dream""]"
10,"The axial current, which is more commonly named for this property, is conserved if there is this sort of symmetry but is not conserved in the Adler-Bell-Jackiw anomaly",0,"['chiral symmetry', 'chiral anomaly', 'chirality', 'chiral', 'chiral current', 'CP', 'word forms until CP is read', 'CP symmetry violation', 'word forms like chiral', 'parity violation', 'CP violation', 'word forms', 'violation']"
10,A Lorentz-invariant quantity with this name equals helicity for massless particles,1,"['chiral symmetry', 'chiral anomaly', 'chirality', 'chiral', 'chiral current', 'CP', 'word forms until CP is read', 'CP symmetry violation', 'word forms like chiral', 'parity violation', 'CP violation', 'word forms', 'violation']"
10,The discovery that an interaction had this property resolved the tau-theta puzzle,2,"['chiral symmetry', 'chiral anomaly', 'chirality', 'chiral', 'chiral current', 'CP', 'word forms until CP is read', 'CP symmetry violation', 'word forms like chiral', 'parity violation', 'CP violation', 'word forms', 'violation']"
10,"The beta decay of cobalt-60 has this property, as proven by Chien-Shiung Wu",3,"['chiral symmetry', 'chiral anomaly', 'chirality', 'chiral', 'chiral current', 'CP', 'word forms until CP is read', 'CP symmetry violation', 'word forms like chiral', 'parity violation', 'CP violation', 'word forms', 'violation']"
10,"Because it has this property and violates charge conjugation symmetry, the decay of neutral kaons violates CP symmetry",4,"['chiral symmetry', 'chiral anomaly', 'chirality', 'chiral', 'chiral current', 'CP', 'word forms until CP is read', 'CP symmetry violation', 'word forms like chiral', 'parity violation', 'CP violation', 'word forms', 'violation']"
10,Molecules with this property have nonzero optical activity and rotate the polarization of light,5,"['chiral symmetry', 'chiral anomaly', 'chirality', 'chiral', 'chiral current', 'CP', 'word forms until CP is read', 'CP symmetry violation', 'word forms like chiral', 'parity violation', 'CP violation', 'word forms', 'violation']"
10,"For 10 points, what property of objects that cannot be superimposed on their mirror images can be used to define handedness?",6,"['chiral symmetry', 'chiral anomaly', 'chirality', 'chiral', 'chiral current', 'CP', 'word forms until CP is read', 'CP symmetry violation', 'word forms like chiral', 'parity violation', 'CP violation', 'word forms', 'violation']"
11,John Francis Appleby made his fortune by developing a device for harvesting this crop,0,['wheat']
11,"Oliver Dalrymple and the Grandin Brothers owned ""bonanza farms"" that produced this crop",1,['wheat']
11,Facilities that primarily stored this crop were modernized by an invention by Joseph Dart,2,['wheat']
11,Mennonite immigrants from Russia introduced the Turkey Red variant of this crop to the US,3,['wheat']
11,The Confederacy's primary center of production for this crop was Shenandoah Valley,4,['wheat']
11,Regulations on facilities that primarily stored this crop were the subject of the cases Wabash v,5,['wheat']
11,Illinois and Munn v,6,['wheat']
11,Illinois,7,['wheat']
11,"Innovations like the McCormick reaper significantly increased this crop's production, primarily cultivated in the Great Plains",8,['wheat']
11,"For 10 points, name this crop processed into flour",9,['wheat']
12,"Unlike other exceptions to the Madelung rule, this element has exactly zero electrons in its valence s-orbital",0,"['Pd until mention', 'Pd', 'palladium']"
12,This element is poisoned by barium sulfate in the Rosenmund reduction,1,"['Pd until mention', 'Pd', 'palladium']"
12,"The Fleischmann-Pons experiment attempted to catalyze cold fusion with an electrode of this element since it adsorbs nearly 1,000 times its volume in hydrogen at room temperature",2,"['Pd until mention', 'Pd', 'palladium']"
12,"Rhodium, platinum, and this element are used in catalytic converters",3,"['Pd until mention', 'Pd', 'palladium']"
12,"Negishi, Suzuki, and Heck won the 2010 Nobel Prize for their work on cross-coupling reactions catalyzed by this element",4,"['Pd until mention', 'Pd', 'palladium']"
12,This element is poisoned in a catalyst that hydrogenates alkynes(“al- KINES”) to alkenes(“al-KEENS”) named for Herbert Lindlar,5,"['Pd until mention', 'Pd', 'palladium']"
12,"For 10 points, name this transition metal with an atomic number of 46 and chemical symbol Pd",6,"['Pd until mention', 'Pd', 'palladium']"
13,A memoir titled Life with [this artist] written with Carlton Lake recounts how he blacklisted a former partner among art dealers to ruin her art career,0,"['Picasso', 'Pablo Picasso', 'Pablo Ruiz Picasso] [The first line refers to Françoise Gilot.']"
13,A hiatus from painting in this artist's fifties led to his poetry collection named The Burial of the Count of Orgaz,1,"['Picasso', 'Pablo Picasso', 'Pablo Ruiz Picasso] [The first line refers to Françoise Gilot.']"
13,This artist was inspired by an Afghan hound to create a 50-foot-tall sculpture located in the Chicago Loop,2,"['Picasso', 'Pablo Picasso', 'Pablo Ruiz Picasso] [The first line refers to Françoise Gilot.']"
13,He depicted a firing squad firing at nude children and women in his Massacre in Korea,3,"['Picasso', 'Pablo Picasso', 'Pablo Ruiz Picasso] [The first line refers to Françoise Gilot.']"
13,A woman wearing a red tutu sits apart from other circus performers in this artist's Family of Saltimbanques,4,"['Picasso', 'Pablo Picasso', 'Pablo Ruiz Picasso] [The first line refers to Françoise Gilot.']"
13,"A work by this artist depicts a flower growing by the hand of a dead man who still holds a sword, as well as a screaming woman holding a dead baby below a bull",5,"['Picasso', 'Pablo Picasso', 'Pablo Ruiz Picasso] [The first line refers to Françoise Gilot.']"
13,"For 10 points, name this painter of Guernica",6,"['Picasso', 'Pablo Picasso', 'Pablo Ruiz Picasso] [The first line refers to Françoise Gilot.']"
14,"A fisherman with this condition tells a proud maiden who paced ""by the nets on the pebbly shore"" that ""you are not so fair",0,"['elderly', 'being old', 'The Meditation Of The Old Fisherman', 'no country for old men', 'being aged', 'When You Are Old', 'aged', 'an aged man', 'old', 'Old', 'being elderly']"
14,""" In a poem titled for this condition, the speaker says that only ""one man loved the pilgrim soul in you, and loved the sorrows of your changing face",1,"['elderly', 'being old', 'The Meditation Of The Old Fisherman', 'no country for old men', 'being aged', 'When You Are Old', 'aged', 'an aged man', 'old', 'Old', 'being elderly']"
14,""" Love fled ""and hid his face amid a crowd of stars"" in a poem titled for this condition based on a Ronsard sonnet",2,"['elderly', 'being old', 'The Meditation Of The Old Fisherman', 'no country for old men', 'being aged', 'When You Are Old', 'aged', 'an aged man', 'old', 'Old', 'being elderly']"
14,"The speaker claims that ""my circus animals were all on show"" until this condition set in",3,"['elderly', 'being old', 'The Meditation Of The Old Fisherman', 'no country for old men', 'being aged', 'When You Are Old', 'aged', 'an aged man', 'old', 'Old', 'being elderly']"
14,"A poem titled for this condition imagines Maud Gonne ""grey and full of sleep",4,"['elderly', 'being old', 'The Meditation Of The Old Fisherman', 'no country for old men', 'being aged', 'When You Are Old', 'aged', 'an aged man', 'old', 'Old', 'being elderly']"
14,""" A man with this quality ""is but a paltry thing, a tattered coat upon a stick"" in ""Sailing Towards Byzantium",5,"['elderly', 'being old', 'The Meditation Of The Old Fisherman', 'no country for old men', 'being aged', 'When You Are Old', 'aged', 'an aged man', 'old', 'Old', 'being elderly']"
14,""" For 10 points, W",6,"['elderly', 'being old', 'The Meditation Of The Old Fisherman', 'no country for old men', 'being aged', 'When You Are Old', 'aged', 'an aged man', 'old', 'Old', 'being elderly']"
14,B,7,"['elderly', 'being old', 'The Meditation Of The Old Fisherman', 'no country for old men', 'being aged', 'When You Are Old', 'aged', 'an aged man', 'old', 'Old', 'being elderly']"
14,"Yeats wrote about how ""that is no country"" for men with what quality?",8,"['elderly', 'being old', 'The Meditation Of The Old Fisherman', 'no country for old men', 'being aged', 'When You Are Old', 'aged', 'an aged man', 'old', 'Old', 'being elderly']"
15,Practitioners of this religion symbolically cut open a doorway with a white-handled knife also used for cooking,0,"['Wicca', 'Wiccan']"
15,"In this religion, the athame is purified after being touched by others",1,"['Wicca', 'Wiccan']"
15,"A text from this religion is copied and modified by each successive owner; that text, which includes the chant Eko Eko Azarak, is the Book of Shadows",2,"['Wicca', 'Wiccan']"
15,Initiates in this religion raise a cone of power during an esbat,3,"['Wicca', 'Wiccan']"
15,"Like Thelema, this religion instructs ""do what ye will,"" a principle known as its Rede",4,"['Wicca', 'Wiccan']"
15,"The Wheel of the Year structures this religion's seasonal festivals, which were popularized by Gerald Gardner",5,"['Wicca', 'Wiccan']"
15,This religion's two major deities are the Triple Goddess and the Horned God,6,"['Wicca', 'Wiccan']"
15,"For 10 points, covens practice witchcraft in what neopagan religion?",7,"['Wicca', 'Wiccan']"
16,A form of this quantity is defined as the number of small balls needed to cover the information contained in a larger ball and is named after Patrice Assouad,0,"['Minkowski dimension', 'fractal dimension', 'Hausdorff dimension', 'dimension', 'Assouad dimension', 'upper box-counting dimension']"
16,A form of this quantity is defined as the limit of the ratio of the logarithm of the number of boxes to the logarithm of one over the size of the boxes,1,"['Minkowski dimension', 'fractal dimension', 'Hausdorff dimension', 'dimension', 'Assouad dimension', 'upper box-counting dimension']"
16,The rank-nullity theorem compares different values of this quantity for vector spaces,2,"['Minkowski dimension', 'fractal dimension', 'Hausdorff dimension', 'dimension', 'Assouad dimension', 'upper box-counting dimension']"
16,This quantity is the log of 3 divided by the log of 2 for the Sierpinski triangle,3,"['Minkowski dimension', 'fractal dimension', 'Hausdorff dimension', 'dimension', 'Assouad dimension', 'upper box-counting dimension']"
16,"Felix Hausdorff is the namesake of a form of this quantity, which is often non-integer for fractals",4,"['Minkowski dimension', 'fractal dimension', 'Hausdorff dimension', 'dimension', 'Assouad dimension', 'upper box-counting dimension']"
16,This quantity is the minimum number of coordinates needed to uniquely define a point,5,"['Minkowski dimension', 'fractal dimension', 'Hausdorff dimension', 'dimension', 'Assouad dimension', 'upper box-counting dimension']"
16,"For 10 points, name this quantity that is one for a line and two for the plane",6,"['Minkowski dimension', 'fractal dimension', 'Hausdorff dimension', 'dimension', 'Assouad dimension', 'upper box-counting dimension']"
17,The protagonist of a story by this author helps his friend Elvis realize that he isn't the father of his mistress' son,0,"['Junot Díaz', 'Díaz']"
17,"Another story by this author ends with the instructions to ""put the government cheese back in its place before your mom kills you",1,"['Junot Díaz', 'Díaz']"
17,""" Beli sees a faceless man waving at her before discovering she is pregnant with the Gangster's child in a novel by this author, who is known for his characteristic second-person point-of-view",2,"['Junot Díaz', 'Díaz']"
17,"This author's story ""How to Date a Brown Girl"" and collection This is How You Lose Her are narrated by a recurring character who describes a fukú curse inflicted by Rafael Trujillo",3,"['Junot Díaz', 'Díaz']"
17,"Yunior de las Casas was created by, for 10 points, what author of The Brief and Wondrous Life of Oscar Wao?",4,"['Junot Díaz', 'Díaz']"
18,"During a blizzard in 1922, a theater of this name in Washington, DC, collapsed, killing 98 people in the deadliest disaster in the city's history",0,"['Diedrich Knickerbocker', 'knickerbocker', 'knick', 'knicks', 'Knickerbocker']"
18,"It's not ""banker,"" but the Panic of 1907 is sometimes called the panic of these people",1,"['Diedrich Knickerbocker', 'knickerbocker', 'knick', 'knicks', 'Knickerbocker']"
18,A baseball team of this name founded by Alexander Cartwright in 1845 formalized 20 eponymous rules that helped codify the modern game of baseball,2,"['Diedrich Knickerbocker', 'knickerbocker', 'knick', 'knicks', 'Knickerbocker']"
18,"A character of this surname was held to have gone missing before the publication of an 1809 ""history"" that popularized his baggy-kneed pants",3,"['Diedrich Knickerbocker', 'knickerbocker', 'knick', 'knicks', 'Knickerbocker']"
18,That character of this surname is the purported author of Washington Irving's A History of New York,4,"['Diedrich Knickerbocker', 'knickerbocker', 'knick', 'knicks', 'Knickerbocker']"
18,"For 10 points, give this term for the semi-legendary aristocracy of New Netherland, which also lends its name to a New York basketball team",5,"['Diedrich Knickerbocker', 'knickerbocker', 'knick', 'knicks', 'Knickerbocker']"
19,"An eight-count dance from this country that translates as ""old style"" employs ""low to the ground"" footwork and emphasizes the accented ""batter",0,"['Poblacht na hÉireann', 'Republic of Ireland', 'Éire', 'Ireland']"
19,""" A ""long dance"" from this country starts with a row of men facing a row of women",1,"['Poblacht na hÉireann', 'Republic of Ireland', 'Éire', 'Ireland']"
19,This is the westernmost of two countries where women dancers wear rawhide shoes called pampooties,2,"['Poblacht na hÉireann', 'Republic of Ireland', 'Éire', 'Ireland']"
19,"With an eastern neighbor, this country's dancers employ pairs of lines called heys in a dance called ceili",3,"['Poblacht na hÉireann', 'Republic of Ireland', 'Éire', 'Ireland']"
19,Lord of the Dance was created in this country after Michael Flatley left one that put on jigs and reels,4,"['Poblacht na hÉireann', 'Republic of Ireland', 'Éire', 'Ireland']"
19,The bodhrán and uilleann pipes accompany dances from this country put on by Riverdance,5,"['Poblacht na hÉireann', 'Republic of Ireland', 'Éire', 'Ireland']"
19,"For 10 points, name this country whose dances may date back to a celebration in County Cork",6,"['Poblacht na hÉireann', 'Republic of Ireland', 'Éire', 'Ireland']"
20,"According to Aristotle, this leader came to power a decade after the Alcmeonidae family helped put down the revolt of Olympian Cylon",0,"['Draco', 'Dracoian']"
20,This man was the earlier of two leaders to have proclamations etched onto tablets that pivoted around a four-sided pyramid,1,"['Draco', 'Dracoian']"
20,"According to the Suda, this leader died at the theater after suffocating under clothing that the crowd threw on him out of praise",2,"['Draco', 'Dracoian']"
20,A debtor whose social status was below that of his creditor was forced into slavery under laws enacted by this leader,3,"['Draco', 'Dracoian']"
20,The right for a victim's relatives to punish a murderer was the only legislation introduced by this leader not to be repealed by Solon,4,"['Draco', 'Dracoian']"
20,"For 10 points, name this Athenian leader whose name became an adjective for very strict rules",5,"['Draco', 'Dracoian']"
21,A small cloud in this shape can form when a fast-moving object lowers the temperature of the surrounding air,0,"['conic sections', 'vapor cones', 'Hertzian cones', 'cone', 'Mach cones', 'conic', 'light cones', 'cones']"
21,Heinrich Hertz studied how small objects moving through a solid produce these shapes,1,"['conic sections', 'vapor cones', 'Hertzian cones', 'cone', 'Mach cones', 'conic', 'light cones', 'cones']"
21,Kruskal-Szekeres coordinates undo the general relativistic distortion of these shapes,2,"['conic sections', 'vapor cones', 'Hertzian cones', 'cone', 'Mach cones', 'conic', 'light cones', 'cones']"
21,One over beta equals the half-angle of one of these shapes created by Cherenkov radiation,3,"['conic sections', 'vapor cones', 'Hertzian cones', 'cone', 'Mach cones', 'conic', 'light cones', 'cones']"
21,The edges of these shapes on Minkowski diagrams show events that can be reached by a light ray,4,"['conic sections', 'vapor cones', 'Hertzian cones', 'cone', 'Mach cones', 'conic', 'light cones', 'cones']"
21,The shock wave created by a sonic boom makes one of these shapes named for Ernst Mach,5,"['conic sections', 'vapor cones', 'Hertzian cones', 'cone', 'Mach cones', 'conic', 'light cones', 'cones']"
21,Intersecting one of these shapes with a plane can generate any Keplerian orbit,6,"['conic sections', 'vapor cones', 'Hertzian cones', 'cone', 'Mach cones', 'conic', 'light cones', 'cones']"
21,"For 10 points, ellipses and hyperbolas are examples of what shape's namesake ""sections?""",7,"['conic sections', 'vapor cones', 'Hertzian cones', 'cone', 'Mach cones', 'conic', 'light cones', 'cones']"
22,"In a story by this author, Ernest searches for someone who resembles a rock formation to fulfill a prophecy, only for a poet to realize Ernest resembles it",0,"['Hawthorne', 'Nathaniel Hawthorne']"
22,"The title character of a story by this author declares, ""I shall have built my monument!"" before he and the family he visits are killed by a rock slide",1,"['Hawthorne', 'Nathaniel Hawthorne']"
22,"This author of ""The Great Stone Face"" and ""The Ambitious Guest"" wrote a story in which Aminadab helps Aylmer create an elixir to remove the title hand- shaped feature from Georgiana",2,"['Hawthorne', 'Nathaniel Hawthorne']"
22,The protagonist of a story by this author meets a man with a serpent-shaped staff while walking through the woods before seeing Goody Cloyse and his wife Faith at a witches' sabbath,3,"['Hawthorne', 'Nathaniel Hawthorne']"
22,"For 10 points, name this author of ""The Birthmark"" and ""Young Goodman Brown",4,"['Hawthorne', 'Nathaniel Hawthorne']"
22,"""",5,"['Hawthorne', 'Nathaniel Hawthorne']"
23,"A portrait by this artist has a lily pond border containing the words ""crane"" and ""frog,"" which serve as double entendres alluding to the woman's job as a courtesan",0,"['Vincent van Gogh', 'Vincent Willem van Gogh', 'van Gogh']"
23,This artist used a sky of deep ultramarine as the background of his portrait of Eugène Boch as The Poet,1,"['Vincent van Gogh', 'Vincent Willem van Gogh', 'van Gogh']"
23,This artist sent a portrait of himself with a pale green background as part of an exchange with Émile Bernard,2,"['Vincent van Gogh', 'Vincent Willem van Gogh', 'van Gogh']"
23,This artist displayed his collection of prints by depicting Mount Fuji in the background of his portrait of the straw hat-wearing Julien Tanguy,3,"['Vincent van Gogh', 'Vincent Willem van Gogh', 'van Gogh']"
23,Hokusai's Great Wave may have inspired swirls in a painting showing this artist's view of cypress trees from an asylum near Saint-Rémy,4,"['Vincent van Gogh', 'Vincent Willem van Gogh', 'van Gogh']"
23,"For 10 points, name this Dutch artist of The Starry Night",5,"['Vincent van Gogh', 'Vincent Willem van Gogh', 'van Gogh']"
