question,weight,page,final,sentence,word,evidence
122,-0.04,Eternal Sunshine of the Spotless Mind,False,1,21,"{'confidence': -0.0435560806224225, 'final': False}"
122,-0.01,Eternal Sunshine of the Spotless Mind,False,1,28,"{'confidence': -0.0053422133986575, 'final': False}"
122,-0.00,Up in the Air (2009 film),True,2,7,"{'confidence': -0.0002482560919933334, 'final': True}"
122,-0.00,Up in the Air (2009 film),True,2,12,"{'confidence': -1.514705027e-05, 'final': True}"
122,-0.00,La La Land,True,2,17,"{'confidence': -8.566985833333334e-07, 'final': True}"
122,-0.00,La La Land,True,2,23,"{'confidence': -1.263305835e-05, 'final': True}"
122,-0.00,La La Land,True,3,7,"{'confidence': -2.254873733333333e-06, 'final': True}"
122,-0.00,La La Land,True,3,11,"{'confidence': -6.456243350000001e-07, 'final': True}"
122,-0.00,La La Land,True,3,19,"{'confidence': -5.3388644e-07, 'final': True}"
122,-0.00,La La Land,True,3,22,"{'confidence': -5.140191416666667e-07, 'final': True}"
122,-0.00,La La Land,True,4,7,"{'confidence': -8.641643916666667e-07, 'final': True}"
122,-0.00,La La Land,True,4,13,"{'confidence': -4.345500566666667e-07, 'final': True}"
122,-0.00,La La Land,True,4,21,"{'confidence': -6.729573833333332e-07, 'final': True}"
122,-0.00,La La Land,True,4,25,"{'confidence': -5.537537066666667e-07, 'final': True}"
122,-0.00,La La Land,True,4,25,"{'confidence': -5.537537066666667e-07, 'final': True}"
123,-0.17,Phonetic similarity,False,0,8,"{'confidence': -0.16664203098465, 'final': False}"
123,-0.00,Tupac Shakur,True,0,13,"{'confidence': -0.002476227456306, 'final': True}"
123,-0.15,The Notorious B.I.G.,False,0,18,"{'confidence': -0.1452095271338143, 'final': False}"
123,-0.47,Donut (film),False,0,24,"{'confidence': -0.47157850119999994, 'final': False}"
123,-0.15,Tupac Shakur,False,1,8,"{'confidence': -0.150910888204226, 'final': False}"
123,-0.02,Tupac Shakur,False,1,13,"{'confidence': -0.019202992170399998, 'final': False}"
123,-0.09,The Goonies,False,1,18,"{'confidence': -0.08664316168875, 'final': False}"
123,-0.04,The Goonies,False,1,23,"{'confidence': -0.043028411835, 'final': False}"
123,-0.24,Donut Lord,False,1,29,"{'confidence': -0.24231248023333338, 'final': False}"
123,-0.46,The Matrix,False,1,32,"{'confidence': -0.460584663, 'final': False}"
123,-0.22,The Matrix,False,2,7,"{'confidence': -0.21652994, 'final': False}"
123,-0.39,The Matrix,False,2,13,"{'confidence': -0.38964097, 'final': False}"
123,-0.01,Better Luck Tomorrow,False,2,17,"{'confidence': -0.011931238142993334, 'final': False}"
123,-0.19,Better Luck Tomorrow,False,2,20,"{'confidence': -0.18551397787088333, 'final': False}"
123,-0.00,Better Luck Tomorrow,False,3,7,"{'confidence': -0.0048348540750999995, 'final': False}"
123,-0.00,Swiss Army Man,True,3,13,"{'confidence': -0.0006916019344125, 'final': True}"
123,-0.01,Swiss Army Man,False,3,18,"{'confidence': -0.0141244092090825, 'final': False}"
123,-0.00,Everything Everywhere All at Once,True,3,25,"{'confidence': -0.00230879135688, 'final': True}"
123,-0.00,Everything Everywhere All at Once,False,3,29,"{'confidence': -0.0047592468523900006, 'final': False}"
123,-0.00,Everything Everywhere All at Once,False,3,29,"{'confidence': -0.0047592468523900006, 'final': False}"
124,-0.00,Jesse Dart Spaceketeers,False,0,6,"{'confidence': -0.0019040118624757143, 'final': False}"
124,-0.06,Link (The Legend of Zelda),False,0,15,"{'confidence': -0.061352853392235715, 'final': False}"
124,-0.09,Mulan (1998 film),False,0,21,"{'confidence': -0.08953917972166285, 'final': False}"
124,-0.00,Mulan (1998 film),True,0,29,"{'confidence': -0.002736805397285714, 'final': True}"
124,-0.10,Mulan (1998 film),False,0,35,"{'confidence': -0.1038134404304143, 'final': False}"
124,-0.26,List of Disney theatrical animated features,False,1,8,"{'confidence': -0.2614401197337333, 'final': False}"
124,-0.01,Mulan (1998 film),False,1,14,"{'confidence': -0.014523876926364285, 'final': False}"
124,-0.02,Mulan (1998 film),False,1,16,"{'confidence': -0.020885426751114287, 'final': False}"
124,-0.03,Spirited Away,False,2,9,"{'confidence': -0.026853805054882503, 'final': False}"
124,-0.03,Spirited Away,False,2,14,"{'confidence': -0.03070442492651, 'final': False}"
124,-0.01,Spirited Away,False,2,20,"{'confidence': -0.0139016771164125, 'final': False}"
124,-0.00,Spirited Away,True,2,26,"{'confidence': -0.001303378084075, 'final': True}"
124,-0.00,Spirited Away,True,2,33,"{'confidence': -2.7144839412500002e-05, 'final': True}"
124,-0.00,Spirited Away,True,2,36,"{'confidence': -0.00014690418498749998, 'final': True}"
124,-0.00,Spirited Away,True,3,7,"{'confidence': -7.761658698750001e-05, 'final': True}"
124,-0.00,Spirited Away,True,3,14,"{'confidence': -1.3670469875e-06, 'final': True}"
124,-0.00,Spirited Away,True,3,21,"{'confidence': -2.570096e-07, 'final': True}"
124,-0.00,Spirited Away,True,4,7,"{'confidence': -6.630237125e-07, 'final': True}"
124,-0.00,Spirited Away,True,4,12,"{'confidence': -1.862090825e-07, 'final': True}"
124,-0.00,Spirited Away,True,4,20,"{'confidence': -1.26607245e-07, 'final': True}"
124,-0.00,Spirited Away,True,4,20,"{'confidence': -1.26607245e-07, 'final': True}"
