final,page,weight,question,word,evidence,sentence
False,Artificial intelligence in fiction,-0.20,171,20,"{'confidence': -0.203963411874, 'final': False}",2
False,Robot,-0.51,171,26,"{'confidence': -0.5140203, 'final': False}",2
False,Robots,-0.18,171,33,"{'confidence': -0.18104418441732, 'final': False}",2
False,Robot,-0.23,171,40,"{'confidence': -0.23141523, 'final': False}",2
False,Robot,-0.26,171,45,"{'confidence': -0.2578207, 'final': False}",2
False,Robot,-0.12,171,45,"{'confidence': -0.11961892, 'final': False}",2
False,Robots,-0.14,171,8,"{'confidence': -0.143976516408165, 'final': False}",3
False,Robots,-0.11,171,15,"{'confidence': -0.11473994180632499, 'final': False}",3
False,Robots,-0.15,171,21,"{'confidence': -0.149785746806325, 'final': False}",3
False,Robot,-0.08,171,28,"{'confidence': -0.08075604, 'final': False}",3
False,Robot,-0.72,171,34,"{'confidence': -0.7240508, 'final': False}",3
False,Robot,-0.03,171,34,"{'confidence': -0.025728492, 'final': False}",3
False,Robots,-0.25,171,5,"{'confidence': -0.25131465441732, 'final': False}",4
False,Self-driving car,-0.08,171,10,"{'confidence': -0.07518843453754999, 'final': False}",4
False,Self-driving car,-0.12,171,16,"{'confidence': -0.11619919333333333, 'final': False}",4
False,Self-driving car,-0.09,171,16,"{'confidence': -0.08573290666666666, 'final': False}",4
False,Automobile,-0.15,171,6,"{'confidence': -0.1497053678775, 'final': False}",5
False,Automobile,-0.32,171,12,"{'confidence': -0.31942350521365, 'final': False}",5
False,Self-driving car,-0.11,171,17,"{'confidence': -0.10722781255099999, 'final': False}",5
False,Self-driving car,-0.14,171,23,"{'confidence': -0.13855976920266666, 'final': False}",5
False,Self-driving car,-0.03,171,24,"{'confidence': -0.02697905520421667, 'final': False}",5
False,Self-driving car,-0.04,171,24,"{'confidence': -0.04425367363596666, 'final': False}",5
False,Homonym,-0.37,172,5,"{'confidence': -0.36955945, 'final': False}",0
False,List of films considered the best,-0.18,172,8,"{'confidence': -0.18305673698310834, 'final': False}",1
True,Kazuo Ishiguro,-0.00,172,15,"{'confidence': -4.6180856825e-05, 'final': True}",1
False,Orson Welles filmography,-0.12,172,22,"{'confidence': -0.11687934371098334, 'final': False}",1
False,Orson Welles filmography,-0.17,172,28,"{'confidence': -0.1669796244478883, 'final': False}",1
False,Orson Welles filmography,-0.22,172,33,"{'confidence': -0.21744989545527502, 'final': False}",1
False,Transformer,-0.12,172,2,"{'confidence': -0.11545438672620001, 'final': False}",2
False,Transformer,-0.12,172,6,"{'confidence': -0.119010812404, 'final': False}",3
False,Unicron,-0.11,172,11,"{'confidence': -0.11145593774787667, 'final': False}",3
False,Galactus,-0.28,172,20,"{'confidence': -0.27738110650000003, 'final': False}",3
False,Transformer,-0.18,172,25,"{'confidence': -0.18472480258274998, 'final': False}",3
False,Transformer,-0.27,172,28,"{'confidence': -0.2664616054165, 'final': False}",3
False,Transformer,-0.02,172,6,"{'confidence': -0.019633558085500002, 'final': False}",4
False,Transformer,-0.01,172,11,"{'confidence': -0.006255564132916666, 'final': False}",4
False,Transformer,-0.02,172,18,"{'confidence': -0.01696759382155, 'final': False}",4
False,Transformer,-0.00,172,24,"{'confidence': -0.004806970184725001, 'final': False}",4
True,Transformer,-0.00,172,29,"{'confidence': -0.00025672878410666665, 'final': True}",4
True,Transformer,-0.00,172,36,"{'confidence': -0.0005334483876633334, 'final': True}",4
True,Transformer,-0.00,172,39,"{'confidence': -3.799981777333333e-05, 'final': True}",4
False,Transformer,-0.01,172,6,"{'confidence': -0.009570025, 'final': False}",5
True,Transformer,-0.00,172,13,"{'confidence': -0.0010710388, 'final': True}",5
True,Transformer,-0.00,172,17,"{'confidence': -0.0017895402, 'final': True}",5
True,Transformer,-0.00,172,23,"{'confidence': -0.00052741496, 'final': True}",5
True,Transformer,-0.00,172,23,"{'confidence': -0.0017516994, 'final': True}",5
True,Transformer,-0.00,172,7,"{'confidence': -5.0497558e-05, 'final': True}",6
False,Transformers,-0.34,172,14,"{'confidence': -0.33983797, 'final': False}",6
True,Transformer,-0.00,172,21,"{'confidence': -0.00068467576, 'final': True}",6
True,Transformer,-0.00,172,26,"{'confidence': -0.00011486754, 'final': True}",6
True,Transformer,-0.00,172,32,"{'confidence': -0.0001786305, 'final': True}",6
True,Transformer,-0.00,172,36,"{'confidence': -1.1398757e-05, 'final': True}",6
True,Transformer,-0.00,172,36,"{'confidence': -1.1398757e-05, 'final': True}",6
False,None,-0.00,173,3,"{'confidence': -0.0032355827, 'final': False}",0
False,2018,-0.00,173,7,"{'confidence': -0.0038517368136500004, 'final': False}",1
True,ArXiv,-0.00,173,14,"{'confidence': -0.00034223020421666664, 'final': True}",1
False,ArXiv,-0.20,173,20,"{'confidence': -0.19963211674720002, 'final': False}",1
False,Bert and Ernie,-0.08,173,25,"{'confidence': -0.080102596340328, 'final': False}",1
False,"BERT (language model), Transformer (machine learning model)",-0.02,173,34,"{'confidence': -0.017375777184677272, 'final': False}",1
False,"BERT (language model), Knowledge Graph",-0.10,173,39,"{'confidence': -0.09611344242433285, 'final': False}",1
False,"BERT (language model), Knowledge Graph Embeddings",-0.13,173,43,"{'confidence': -0.12745923904177778, 'final': False}",1
False,"BERT (language model), Knowledge Graph Embedding",-0.16,173,43,"{'confidence': -0.16261644164040556, 'final': False}",1
False,"BERT (language model), Knowledge Graph Embedding",-0.20,173,7,"{'confidence': -0.2029177296722222, 'final': False}",2
False,Bert and Ernie,-0.04,173,14,"{'confidence': -0.038194552787680004, 'final': False}",2
False,Bert and Ernie,-0.14,173,20,"{'confidence': -0.139667733826928, 'final': False}",2
False,Bert and Ernie,-0.04,173,25,"{'confidence': -0.03980330712546, 'final': False}",2
False,Bert and Ernie,-0.05,173,33,"{'confidence': -0.05058118868546, 'final': False}",2
False,George Bailey (It's a Wonderful Life),-0.11,173,36,"{'confidence': -0.10757979560121445, 'final': False}",2
False,List of artificial intelligence projects,-0.41,173,7,"{'confidence': -0.4099953058108, 'final': False}",3
False,List of sketch comedy groups,-0.51,173,13,"{'confidence': -0.5125638423914, 'final': False}",3
False,Bert and Ernie,-0.03,173,20,"{'confidence': -0.028097918691266, 'final': False}",3
False,Bert and Ernie,-0.01,173,25,"{'confidence': -0.007688592427259999, 'final': False}",3
False,Bert and Ernie,-0.01,173,31,"{'confidence': -0.0055697997262, 'final': False}",3
True,Bert and Ernie,-0.00,173,7,"{'confidence': -3.99838956e-05, 'final': True}",4
True,Bert and Ernie,-0.00,173,13,"{'confidence': -0.0016322348542659997, 'final': True}",4
True,Bert and Ernie,-0.00,173,18,"{'confidence': -0.001064463544266, 'final': True}",4
True,Bert and Ernie,-0.00,173,23,"{'confidence': -0.0011902731854600002, 'final': True}",4
False,Bert and Ernie,-0.00,173,30,"{'confidence': -0.00337396476546, 'final': False}",4
True,Bert and Ernie,-0.00,173,33,"{'confidence': -0.00103636724546, 'final': True}",4
True,Bert and Ernie,-0.00,173,33,"{'confidence': -0.00103636724546, 'final': True}",4
False,Functional programming,-0.37,174,5,"{'confidence': -0.373656396975, 'final': False}",0
False,Java (programming language),-0.02,174,10,"{'confidence': -0.01972681466925, 'final': False}",0
False,Janus (programming language),-0.20,174,15,"{'confidence': -0.19645340674728165, 'final': False}",0
False,Scripting,-0.46,174,16,"{'confidence': -0.458168009333, 'final': False}",0
False,Omar Khattab,-0.22,174,6,"{'confidence': -0.21658951747960004, 'final': False}",1
False,Natural language processing,-0.45,174,11,"{'confidence': -0.4467323636333333, 'final': False}",1
False,Natural language processing,-0.27,174,18,"{'confidence': -0.27221805201, 'final': False}",1
False,Natural language processing,-0.18,174,19,"{'confidence': -0.18077422864, 'final': False}",1
False,Data Science,-0.02,174,6,"{'confidence': -0.021400760999999997, 'final': False}",2
False,Data Science,-0.09,174,13,"{'confidence': -0.089792975, 'final': False}",2
False,Data annotation,-0.52,174,18,"{'confidence': -0.518833915, 'final': False}",2
False,Machine learning,-0.27,174,21,"{'confidence': -0.2722169192, 'final': False}",2
False,Machine learning,-0.10,174,27,"{'confidence': -0.1008359174, 'final': False}",2
False,Machine learning,-0.38,174,35,"{'confidence': -0.375926953, 'final': False}",2
False,Data annotation,-0.25,174,37,"{'confidence': -0.24628482000000002, 'final': False}",2
False,Critical thinking,-0.19,174,6,"{'confidence': -0.194660400325, 'final': False}",3
False,Machine learning,-0.43,174,7,"{'confidence': -0.4306165875, 'final': False}",3
False,Machine learning,-0.10,174,11,"{'confidence': -0.10214475249999999, 'final': False}",3
False,Machine learning,-0.14,174,11,"{'confidence': -0.14405146000000002, 'final': False}",3
False,Machine learning,-0.13,174,7,"{'confidence': -0.134008825, 'final': False}",4
False,Machine learning,-0.19,174,15,"{'confidence': -0.1926991725, 'final': False}",4
False,Natural language processing,-0.45,174,19,"{'confidence': -0.4477581306666667, 'final': False}",4
False,Prompt engineering,-0.08,174,23,"{'confidence': -0.07931252951500001, 'final': False}",4
False,Prompt engineering,-0.32,174,27,"{'confidence': -0.32242425776, 'final': False}",4
False,Prompt engineering,-0.08,174,28,"{'confidence': -0.08351543595000001, 'final': False}",4
False,Prompt engineering,-0.25,174,28,"{'confidence': -0.24521569345000002, 'final': False}",4
