evidence,question,word,weight,sentence,final,page
"{'confidence': -0.014127564552739998, 'final': False}",126,22,-0.01,2,False,Last Friday Night (T.G.I.F)
"{'confidence': -2.152696318666667e-05, 'final': True}",126,8,-0.00,3,True,Last Friday Night (T.G.I.F)
"{'confidence': -0.00013489810661444445, 'final': True}",126,13,-0.00,3,True,Last Friday Night (T.G.I.F)
"{'confidence': -0.00171412633122, 'final': True}",126,16,-0.00,3,True,Last Friday Night (T.G.I.F)
"{'confidence': -0.00171412633122, 'final': True}",126,16,-0.00,3,True,Last Friday Night (T.G.I.F)
"{'confidence': -0.02236489781, 'final': False}",127,8,-0.02,0,False,Meme
"{'confidence': -0.13703085999999998, 'final': False}",127,13,-0.14,0,False,Rickrolling
"{'confidence': -0.007675669607883333, 'final': False}",127,19,-0.01,0,False,Chuck Norris facts
"{'confidence': -0.0372855159128, 'final': False}",127,25,-0.04,0,False,Chuck Norris facts
"{'confidence': -0.11035512120421666, 'final': False}",127,28,-0.11,0,False,Chuck Norris facts
"{'confidence': -0.20530942, 'final': False}",127,8,-0.21,1,False,Chuck Norris facts
"{'confidence': -0.06155507067333333, 'final': False}",127,14,-0.06,1,False,Chuck Norris facts
"{'confidence': -0.09990241025876144, 'final': False}",127,20,-0.10,1,False,Søren Kierkegaard
"{'confidence': -0.18853111, 'final': False}",127,26,-0.19,1,False,ReviewBrah
"{'confidence': -0.12374351388365666, 'final': False}",127,30,-0.12,1,False,Uncle Roger
"{'confidence': -0.16272039734000002, 'final': False}",127,32,-0.16,1,False,Reviewbrah
"{'confidence': -0.0007609809265000001, 'final': True}",127,7,-0.00,2,True,Vin Diesel
"{'confidence': -0.00255301875, 'final': True}",127,14,-0.00,2,True,John Cena
"{'confidence': -0.005928735, 'final': False}",127,19,-0.01,2,False,John Cena
"{'confidence': -5.4013695e-06, 'final': True}",127,22,-0.00,2,True,John Cena
"{'confidence': -1.5772088e-05, 'final': True}",127,6,-0.00,3,True,John Cena
"{'confidence': -2.2424722e-06, 'final': True}",127,11,-0.00,3,True,John Cena
"{'confidence': -9.9083375e-07, 'final': True}",127,12,-0.00,3,True,John Cena
"{'confidence': -9.9083375e-07, 'final': True}",127,12,-0.00,3,True,John Cena
