page,evidence,final,question,weight,sentence,word
Phalanx,"{'confidence': -3.426794666666666e-07, 'final': True}",True,136,-0.00,4,17
Phalanx,"{'confidence': -1.4400666666666668e-07, 'final': True}",True,136,-0.00,4,22
Phalanx,"{'confidence': -1.4400666666666668e-07, 'final': True}",True,136,-0.00,4,22
Gang Zhou,"{'confidence': -0.004062532434866667, 'final': False}",False,137,-0.00,0,8
Gang Zhou,"{'confidence': -0.0003671153786666667, 'final': True}",True,137,-0.00,0,12
Gang Zhou,"{'confidence': -0.0005092844313333333, 'final': True}",True,137,-0.00,0,18
Xiaoshuo,"{'confidence': -0.0120196448589125, 'final': False}",False,137,-0.01,0,24
Xiaoshuo,"{'confidence': -0.046315457263825, 'final': False}",False,137,-0.05,0,24
Gang Zhou,"{'confidence': -0.05330295834900001, 'final': False}",False,137,-0.05,1,7
Gang Zhou,"{'confidence': -0.001476421121, 'final': True}",True,137,-0.00,1,12
Gang Zhou,"{'confidence': -0.3166467020866667, 'final': False}",False,137,-0.32,1,20
Marco Polo,"{'confidence': -0.17207165499875002, 'final': False}",False,137,-0.17,1,23
Marco Polo,"{'confidence': -0.20963054331449998, 'final': False}",False,137,-0.21,1,23
Marco Polo,"{'confidence': -0.00231859975, 'final': True}",True,137,-0.00,2,6
Marco Polo,"{'confidence': -2.75611825e-07, 'final': True}",True,137,-0.00,2,12
Marco Polo,"{'confidence': -6.3322285e-07, 'final': True}",True,137,-0.00,2,18
Marco Polo,"{'confidence': 0.0, 'final': True}",True,137,0.00,2,20
Marco Polo,"{'confidence': -9.6806325e-08, 'final': True}",True,137,-0.00,3,7
Marco Polo,"{'confidence': -2.1601e-07, 'final': True}",True,137,-0.00,3,12
Marco Polo,"{'confidence': -1.56408165e-07, 'final': True}",True,137,-0.00,3,17
Marco Polo,"{'confidence': -1.56408165e-07, 'final': True}",True,137,-0.00,3,18
Marco Polo,"{'confidence': -3.1281632500000003e-07, 'final': True}",True,137,-0.00,4,7
Marco Polo,"{'confidence': -8.120283e-07, 'final': True}",True,137,-0.00,4,12
Marco Polo,"{'confidence': -2.5321449e-07, 'final': True}",True,137,-0.00,4,19
Marco Polo,"{'confidence': -8.120283e-07, 'final': True}",True,137,-0.00,4,23
Marco Polo,"{'confidence': -8.120283e-07, 'final': True}",True,137,-0.00,4,23
Cecil Rhodes,"{'confidence': -0.000148622359975, 'final': False}",False,138,-0.00,0,6
Mahatma Gandhi,"{'confidence': -0.008739772533337499, 'final': False}",False,138,-0.01,0,13
Mahatma Gandhi,"{'confidence': -0.009855583403162501, 'final': False}",False,138,-0.01,0,19
Mahatma Gandhi,"{'confidence': -0.007813416167160001, 'final': False}",False,138,-0.01,0,25
Mahatma Gandhi,"{'confidence': -0.0032442336214225, 'final': False}",False,138,-0.00,0,30
Mahatma Gandhi,"{'confidence': -5.5577773199999994e-06, 'final': True}",True,138,-0.00,0,31
Mahatma Gandhi,"{'confidence': -3.0620348475e-05, 'final': True}",True,138,-0.00,1,8
Mahatma Gandhi,"{'confidence': -2.13522640125e-05, 'final': True}",True,138,-0.00,1,14
Mahatma Gandhi,"{'confidence': -1.2143779975e-05, 'final': True}",True,138,-0.00,1,19
Mahatma Gandhi,"{'confidence': -2.6418417925e-05, 'final': True}",True,138,-0.00,1,19
Mahatma Gandhi,"{'confidence': -7.5795786575e-05, 'final': True}",True,138,-0.00,2,7
Mahatma Gandhi,"{'confidence': -3.78899363325e-05, 'final': True}",True,138,-0.00,2,14
Mahatma Gandhi,"{'confidence': -5.0078510575e-05, 'final': True}",True,138,-0.00,2,17
Mahatma Gandhi,"{'confidence': -2.52077800825e-05, 'final': True}",True,138,-0.00,3,7
Mahatma Gandhi,"{'confidence': -1.65059120825e-05, 'final': True}",True,138,-0.00,3,15
Mahatma Gandhi,"{'confidence': -4.3881381625e-06, 'final': True}",True,138,-0.00,3,20
Mahatma Gandhi,"{'confidence': -7.71028725e-07, 'final': True}",True,138,-0.00,3,25
Mahatma Gandhi,"{'confidence': -4.90215715e-06, 'final': True}",True,138,-0.00,3,27
Mahatma Gandhi,"{'confidence': -2.9278933325e-06, 'final': True}",True,138,-0.00,4,7
Mahatma Gandhi,"{'confidence': -2.20190815e-05, 'final': True}",True,138,-0.00,4,11
Mahatma Gandhi,"{'confidence': -2.20190815e-05, 'final': True}",True,138,-0.00,4,11
Ball (dance party),"{'confidence': -0.0077117645802400004, 'final': False}",False,139,-0.01,0,9
Meriwether Lewis,"{'confidence': -8.341748849999999e-05, 'final': True}",True,139,-0.00,0,15
Meriwether Lewis,"{'confidence': -0.00020917481921, 'final': True}",True,139,-0.00,0,22
Aaron Burr,"{'confidence': -0.032842475, 'final': False}",False,139,-0.03,0,28
Aaron Burr,"{'confidence': -2.6679223e-05, 'final': True}",True,139,-0.00,0,32
Aaron Burr,"{'confidence': -5.1033605e-06, 'final': True}",True,139,-0.00,1,7
Aaron Burr,"{'confidence': -9.169748e-05, 'final': True}",True,139,-0.00,1,12
Aaron Burr,"{'confidence': -3.434509e-06, 'final': True}",True,139,-0.00,1,17
Aaron Burr,"{'confidence': -2.2566697e-05, 'final': True}",True,139,-0.00,1,24
Aaron Burr,"{'confidence': -0.0001256632, 'final': True}",True,139,-0.00,1,30
Aaron Burr,"{'confidence': -1.0109914e-05, 'final': True}",True,139,-0.00,1,31
Aaron Burr,"{'confidence': -3.948155e-07, 'final': True}",True,139,-0.00,2,5
Aaron Burr,"{'confidence': -3.3521365e-07, 'final': True}",True,139,-0.00,2,11
Aaron Burr,"{'confidence': -2.1601e-07, 'final': True}",True,139,-0.00,2,15
Aaron Burr,"{'confidence': -2.75611825e-07, 'final': True}",True,139,-0.00,2,21
Aaron Burr,"{'confidence': -3.948155e-07, 'final': True}",True,139,-0.00,2,23
Aaron Burr,"{'confidence': -8.7163015e-07, 'final': True}",True,139,-0.00,3,6
Aaron Burr,"{'confidence': -6.3322285e-07, 'final': True}",True,139,-0.00,3,11
Aaron Burr,"{'confidence': -9.6806325e-08, 'final': True}",True,139,-0.00,3,17
Aaron Burr,"{'confidence': -5.140192e-07, 'final': True}",True,139,-0.00,3,20
Aaron Burr,"{'confidence': -5.140192e-07, 'final': True}",True,139,-0.00,3,20
