word,sentence,weight,final,evidence,question,page
43,1,0.03,False,"{'confidence': 0.027132565155625343, 'final': False}",173,automail
19,2,0.03,False,"{'confidence': 0.026995860040187836, 'final': False}",173,Winry reveals she has prepared a new automail
36,2,0.03,False,"{'confidence': 0.026574332267045975, 'final': False}",173,Winry reveals she has prepared a new automail
36,2,0.03,False,"{'confidence': 0.026574332267045975, 'final': False}",173,Winry reveals she has prepared a new automail
19,3,0.02,False,"{'confidence': 0.023044085130095482, 'final': False}",173,attaches them to him.
31,3,0.01,False,"{'confidence': 0.01211503241211176, 'final': False}",173,attaches them to him.
18,4,0.00,False,"{'confidence': 0.0037918139714747667, 'final': False}",173,attaches them to him.
33,4,0.00,False,"{'confidence': 0.0006054481491446495, 'final': False}",173,attaches them to him.
33,4,0.00,False,"{'confidence': 0.0006054481491446495, 'final': False}",173,attaches them to him.
15,0,0.04,False,"{'confidence': 0.04078218713402748, 'final': False}",174,text
16,0,0.02,False,"{'confidence': 0.02110077627003193, 'final': False}",174,text
16,1,0.01,False,"{'confidence': 0.010055450722575188, 'final': False}",174,"name_button {  key = ""submit-name"";  }   : text"
19,1,0.01,False,"{'confidence': 0.012661771848797798, 'final': False}",174,text
18,2,0.01,False,"{'confidence': 0.006723445374518633, 'final': False}",174,text
32,2,0.00,False,"{'confidence': 0.0033165402710437775, 'final': False}",174,text
37,2,0.00,False,"{'confidence': 0.002480229130014777, 'final': False}",174,text
11,3,0.00,False,"{'confidence': 0.0007476298487745225, 'final': False}",174,text
11,3,0.00,False,"{'confidence': 0.0007476298487745225, 'final': False}",174,text
19,4,0.00,False,"{'confidence': 0.0006524675991386175, 'final': False}",174,text
28,4,0.00,False,"{'confidence': 0.000510086421854794, 'final': False}",174,text
28,4,0.00,False,"{'confidence': 0.000510086421854794, 'final': False}",174,text
