final,page,weight,sentence,word,question,evidence
False,B. F. Skinner,-0.16,0,12,161,"{'confidence': -0.15612942904480598, 'final': False}"
False,Jane Jacobs,-0.56,0,13,161,"{'confidence': -0.5608532869999999, 'final': False}"
False,Franz Boas,-0.04,1,6,161,"{'confidence': -0.04191175026675, 'final': False}"
False,Jacob Riis,-0.39,1,11,161,"{'confidence': -0.38557366548190003, 'final': False}"
True,Franz Boas,-0.00,1,17,161,"{'confidence': -0.0030469224031625, 'final': True}"
True,W. E. B. Du Bois,-0.00,1,23,161,"{'confidence': -0.0005636334265166667, 'final': True}"
True,W. E. B. Du Bois,-0.00,1,28,161,"{'confidence': -8.490032062222223e-05, 'final': True}"
True,W. E. B. Du Bois,-0.00,2,5,161,"{'confidence': -5.4602007156666674e-05, 'final': True}"
True,W. E. B. Du Bois,-0.00,2,10,161,"{'confidence': -6.369552299222222e-05, 'final': True}"
True,W. E. B. Du Bois,-0.00,2,15,161,"{'confidence': -4.758468043666667e-05, 'final': True}"
True,W. E. B. Du Bois,-0.00,2,21,161,"{'confidence': -2.3875462603333333e-05, 'final': True}"
True,W. E. B. Du Bois,-0.00,3,7,161,"{'confidence': -1.5240636736666665e-05, 'final': True}"
True,W. E. B. Du Bois,-0.00,3,11,161,"{'confidence': -7.723352114444443e-06, 'final': True}"
True,W. E. B. Du Bois,-0.00,4,6,161,"{'confidence': -5.628978806666668e-06, 'final': True}"
True,W. E. B. Du Bois,-0.00,4,7,161,"{'confidence': -3.4932675566666667e-06, 'final': True}"
True,W. E. B. Du Bois,-0.00,5,6,161,"{'confidence': -4.662104656666668e-06, 'final': True}"
True,W. E. B. Du Bois,-0.00,5,13,161,"{'confidence': -2.5611506255555554e-06, 'final': True}"
True,W. E. B. Du Bois,-0.00,5,13,161,"{'confidence': -2.5611506255555554e-06, 'final': True}"
False,Ferdinand von Zeppelin,-0.04,0,8,76,"{'confidence': -0.0353512137137, 'final': False}"
True,Alberto Santos-Dumont,-0.00,0,13,76,"{'confidence': -0.001185070127796, 'final': True}"
True,Oil industry,-0.01,0,21,76,"{'confidence': -0.01040132708, 'final': True}"
False,Newspaper,-0.31,0,26,76,"{'confidence': -0.3056146373536666, 'final': False}"
False,Rubber industry,-0.42,0,30,76,"{'confidence': -0.42305020897455003, 'final': False}"
False,Rubber industry,-0.09,1,6,76,"{'confidence': -0.08830766868553332, 'final': False}"
True,Rubber industry,-0.02,1,12,76,"{'confidence': -0.0214020744819, 'final': True}"
False,Sugar industry,-0.56,1,19,76,"{'confidence': -0.5615440556865, 'final': False}"
True,Coffee production in Brazil,-0.01,1,21,76,"{'confidence': -0.008785692977815, 'final': True}"
True,Coffee production in Brazil,-0.01,2,7,76,"{'confidence': -0.0091451654217, 'final': True}"
True,Coffee production in Brazil,-0.01,2,13,76,"{'confidence': -0.009800411994325003, 'final': True}"
True,Coffee production in Brazil,-0.02,2,20,76,"{'confidence': -0.016440240699287498, 'final': True}"
False,Coffee production in Brazil,-0.10,2,25,76,"{'confidence': -0.09973022308224501, 'final': False}"
True,Coffee production in Brazil,-0.00,3,8,76,"{'confidence': -0.00093906698165, 'final': True}"
False,Coffee production in Brazil,-0.05,3,13,76,"{'confidence': -0.045484860958825, 'final': False}"
True,Coffee production in Brazil,-0.03,3,16,76,"{'confidence': -0.029218864567449997, 'final': True}"
True,Coffee,-0.00,4,8,76,"{'confidence': -0.0025420128, 'final': True}"
True,Coffee production in Brazil,-0.02,4,12,76,"{'confidence': -0.021615473164912496, 'final': True}"
False,Coffee production in Brazil,-0.17,4,17,76,"{'confidence': -0.16753801921407, 'final': False}"
False,Coffee production in Brazil,-0.17,4,17,76,"{'confidence': -0.16753801921407, 'final': False}"
False,Thomas Aquinas,-0.00,0,7,134,"{'confidence': -0.0006013423937666667, 'final': False}"
False,Monastery,-0.36,0,11,134,"{'confidence': -0.35787486999999996, 'final': False}"
False,Saint Nicholas Monastery (Jerusalem),-0.26,0,18,134,"{'confidence': -0.2619360393599875, 'final': False}"
False,Saint Nicholas,-0.16,0,25,134,"{'confidence': -0.16397727, 'final': False}"
False,Saint Nicholas of Myra,-0.18,0,27,134,"{'confidence': -0.1843896506764, 'final': False}"
True,Saint Nicholas,-0.00,1,6,134,"{'confidence': -0.00090323665, 'final': True}"
True,Saint Nicholas,-0.00,1,13,134,"{'confidence': -4.7003445e-05, 'final': True}"
True,Saint Nicholas,-0.00,1,21,134,"{'confidence': -2.8623686325000003e-05, 'final': True}"
True,Saint Nicholas,-0.00,1,27,134,"{'confidence': -3.531315325e-06, 'final': True}"
True,Saint Nicholas,-0.00,1,31,134,"{'confidence': -2.696889575e-06, 'final': True}"
True,Saint Nicholas,-0.00,2,6,134,"{'confidence': -9.074285825e-06, 'final': True}"
True,Saint Nicholas,-0.00,2,13,134,"{'confidence': -2.1173458325e-05, 'final': True}"
True,Saint Nicholas,-0.00,2,17,134,"{'confidence': -5.6539742e-05, 'final': True}"
True,Saint Nicholas,-0.00,3,7,134,"{'confidence': -4.7829538249999995e-06, 'final': True}"
True,Saint Nicholas,-0.00,3,14,134,"{'confidence': -2.302074e-06, 'final': True}"
True,Saint Nicholas,-0.00,3,19,134,"{'confidence': -9.3123195e-07, 'final': True}"
True,Saint Nicholas,-0.00,3,21,134,"{'confidence': -6.3322285e-07, 'final': True}"
True,Saint Nicholas,-0.00,4,8,134,"{'confidence': -2.65968515e-06, 'final': True}"
True,Saint Nicholas,-0.00,4,13,134,"{'confidence': -9.9083375e-07, 'final': True}"
True,Saint Nicholas,-0.00,4,15,134,"{'confidence': -8.7163015e-07, 'final': True}"
True,Saint Nicholas,-0.00,4,15,134,"{'confidence': -8.7163015e-07, 'final': True}"
False,Edgar Allan Poe,-0.00,0,6,2,"{'confidence': -1.2180424950000001e-06, 'final': False}"
False,The Raven,-0.04,0,13,2,"{'confidence': -0.042992246, 'final': False}"
False,The Bells (poem),-0.14,0,18,2,"{'confidence': -0.13852962642628572, 'final': False}"
False,Thanatopsis,-0.16,0,25,2,"{'confidence': -0.16298159789588335, 'final': False}"
True,Thanatopsis,-0.02,1,5,2,"{'confidence': -0.015296985487966666, 'final': True}"
False,Thanatopsis,-0.20,1,12,2,"{'confidence': -0.20153603760544334, 'final': False}"
False,The Raven,-0.58,1,14,2,"{'confidence': -0.58429208, 'final': False}"
False,Thanatopsis,-0.08,2,7,2,"{'confidence': -0.07829625494543334, 'final': False}"
False,Thomas Holley Chivers,-0.09,2,12,2,"{'confidence': -0.09302159467808001, 'final': False}"
False,Thomas Holley Chivers,-0.25,2,17,2,"{'confidence': -0.25242814943594, 'final': False}"
False,Ulalume,-0.24,3,7,2,"{'confidence': -0.24225742604766667, 'final': False}"
False,Thanatopsis,-0.06,3,13,2,"{'confidence': -0.06437764400666666, 'final': False}"
True,Thanatopsis,-0.02,3,19,2,"{'confidence': -0.02328557093877667, 'final': True}"
False,A Psalm of Life,-0.09,3,25,2,"{'confidence': -0.09402942198653749, 'final': False}"
True,Thanatopsis,-0.02,3,26,2,"{'confidence': -0.020523495870883333, 'final': True}"
True,Thanatopsis,-0.00,4,6,2,"{'confidence': -0.0012150951806666665, 'final': True}"
True,Thanatopsis,-0.00,4,13,2,"{'confidence': -0.00011963227699999999, 'final': True}"
True,Thanatopsis,-0.00,4,14,2,"{'confidence': -4.866861166666667e-07, 'final': True}"
True,Thanatopsis,-0.00,4,14,2,"{'confidence': -4.866861166666667e-07, 'final': True}"
False,Quorum sensing,-0.00,0,5,171,"{'confidence': -4.14226511e-06, 'final': False}"
True,Quorum sensing,-0.00,0,12,171,"{'confidence': -0.0038433292366666667, 'final': True}"
True,Quorum sensing,-0.00,0,17,171,"{'confidence': -0.00010100410433333332, 'final': True}"
False,Population density,-0.10,0,21,171,"{'confidence': -0.09725018050999999, 'final': False}"
True,Population density,-0.00,1,5,171,"{'confidence': -0.000991481315, 'final': True}"
True,Population density,-0.00,1,9,171,"{'confidence': -0.0014208926, 'final': True}"
True,Population density,-0.00,1,15,171,"{'confidence': -5.9795444e-05, 'final': True}"
True,Population density,-0.00,1,19,171,"{'confidence': -0.00010294167099999999, 'final': True}"
True,Population density,-0.00,1,21,171,"{'confidence': -0.00045302913749999997, 'final': True}"
True,Population density,-0.00,2,7,171,"{'confidence': -0.0048960305192, 'final': True}"
True,Population density,-0.00,2,12,171,"{'confidence': -0.000443475385, 'final': True}"
True,Population density,-0.00,2,15,171,"{'confidence': -0.0013218804145, 'final': True}"
True,Population density,-0.00,3,6,171,"{'confidence': -0.0007873625024999999, 'final': True}"
True,Population density,-0.00,3,11,171,"{'confidence': -2.528598385e-05, 'final': True}"
True,Population density,-0.00,3,15,171,"{'confidence': -2.93389091e-05, 'final': True}"
True,Population density,-0.00,4,7,171,"{'confidence': -3.9530823500000005e-05, 'final': True}"
True,Population density,-0.00,4,13,171,"{'confidence': -9.793694900000001e-05, 'final': True}"
True,Population density,-0.00,4,19,171,"{'confidence': -2.0994651499999998e-05, 'final': True}"
True,Population density,-0.00,4,19,171,"{'confidence': -2.0994651499999998e-05, 'final': True}"
False,Dmitri Shostakovich,-0.00,0,6,99,"{'confidence': -8.227114842857144e-06, 'final': False}"
True,Paul Hindemith,-0.00,0,12,99,"{'confidence': -0.0002939141790825, 'final': True}"
True,Niccolò Paganini,-0.00,0,17,99,"{'confidence': -0.0021807061952666663, 'final': True}"
True,Niccolò Paganini,-0.00,0,20,99,"{'confidence': -0.00015044595972166667, 'final': True}"
True,Niccolò Paganini,-0.00,1,7,99,"{'confidence': -0.0017812905314, 'final': True}"
True,Niccolò Paganini,-0.00,1,15,99,"{'confidence': -0.00010275457082166667, 'final': True}"
True,Franz Liszt,-0.00,1,21,99,"{'confidence': -6.157591e-06, 'final': True}"
True,Franz Liszt,-0.00,2,6,99,"{'confidence': -1.86209075e-07, 'final': True}"
True,Franz Liszt,-0.00,2,10,99,"{'confidence': -2.160099875e-07, 'final': True}"
True,Franz Liszt,-0.00,2,17,99,"{'confidence': -1.9740775e-07, 'final': True}"
True,Niccolò Paganini,-0.00,2,23,99,"{'confidence': -0.00014136555444166666, 'final': True}"
False,Niccolò Paganini,-0.11,2,24,99,"{'confidence': -0.11132261810486334, 'final': False}"
False,Niccolò Paganini,-0.15,3,8,99,"{'confidence': -0.15051033116988333, 'final': False}"
True,Niccolò Paganini,-0.00,3,13,99,"{'confidence': -1.4279138816666668e-06, 'final': True}"
True,Niccolò Paganini,-0.00,4,7,99,"{'confidence': -1.2446786496666667e-05, 'final': True}"
True,Niccolò Paganini,-0.00,4,11,99,"{'confidence': -7.250934416666666e-07, 'final': True}"
True,Niccolò Paganini,-0.00,4,15,99,"{'confidence': -3.9481548833333333e-07, 'final': True}"
True,Niccolò Paganini,-0.00,4,15,99,"{'confidence': -3.9481548833333333e-07, 'final': True}"
False,Japan Antarctic Research Expedition,-0.14,0,7,70,"{'confidence': -0.1443508840634125, 'final': False}"
False,New Zealand Antarctic Research Programme,-0.21,0,14,70,"{'confidence': -0.20973526296692802, 'final': False}"
False,Australia,-0.70,0,21,70,"{'confidence': -0.7031992, 'final': False}"
False,Norway,-0.03,0,26,70,"{'confidence': -0.034102924118, 'final': False}"
False,Norway,-0.07,1,7,70,"{'confidence': -0.07030630828000001, 'final': False}"
True,Norway,-0.01,1,13,70,"{'confidence': -0.013421730962, 'final': True}"
False,Belgium in Antarctica,-0.15,1,16,70,"{'confidence': -0.1454452684606625, 'final': False}"
False,Belgium,-0.07,2,7,70,"{'confidence': -0.068097771806325, 'final': False}"
False,Norway,-0.09,2,13,70,"{'confidence': -0.08583782443099999, 'final': False}"
True,Norway,-0.01,2,18,70,"{'confidence': -0.005357876505, 'final': True}"
False,Norway,-0.07,2,24,70,"{'confidence': -0.07383744309235, 'final': False}"
True,Belgium,-0.00,2,29,70,"{'confidence': -1.1756368e-05, 'final': True}"
True,Belgium,-0.00,3,5,70,"{'confidence': -0.00023205483325, 'final': True}"
True,Belgium,-0.00,3,11,70,"{'confidence': -2.4749568e-05, 'final': True}"
True,Belgium,-0.00,3,17,70,"{'confidence': -4.6041482e-06, 'final': True}"
True,Belgium,-0.00,4,6,70,"{'confidence': -4.90215725e-06, 'final': True}"
True,Belgium,-0.00,4,11,70,"{'confidence': -3.6505188e-06, 'final': True}"
True,Belgium,-0.00,4,15,70,"{'confidence': -2.220075e-06, 'final': True}"
True,Belgium,-0.00,4,15,70,"{'confidence': -2.220075e-06, 'final': True}"
False,Fibonacci number,-0.09,0,5,208,"{'confidence': -0.09142854875025, 'final': False}"
False,Lambda calculus,-0.45,0,9,208,"{'confidence': -0.445014255457, 'final': False}"
False,Combinatorial number system,-0.18,0,13,208,"{'confidence': -0.176474696724, 'final': False}"
False,Permutations,-0.21,1,7,208,"{'confidence': -0.206603158, 'final': False}"
True,Permutations,-0.00,1,12,208,"{'confidence': -0.0041574971, 'final': True}"
False,Permutations,-0.16,1,19,208,"{'confidence': -0.163299845, 'final': False}"
False,Permutations,-0.12,1,24,208,"{'confidence': -0.117837929, 'final': False}"
False,Permutations,-0.04,1,30,208,"{'confidence': -0.040675038000000004, 'final': False}"
False,Permutations,-0.24,1,31,208,"{'confidence': -0.2371998875, 'final': False}"
False,Permutations,-0.15,2,5,208,"{'confidence': -0.150738786, 'final': False}"
False,Permutations,-0.03,2,12,208,"{'confidence': -0.032934682, 'final': False}"
False,Permutation matrices,-0.27,2,19,208,"{'confidence': -0.27293492043333334, 'final': False}"
False,Permutation,-0.18,2,20,208,"{'confidence': -0.18469335, 'final': False}"
False,Permutation,-0.17,3,7,208,"{'confidence': -0.16878739888875, 'final': False}"
True,Permutation,-0.02,3,13,208,"{'confidence': -0.02175310211085, 'final': True}"
False,Permutation,-0.04,3,16,208,"{'confidence': -0.0414420174265, 'final': False}"
True,Permutations,-0.00,4,8,208,"{'confidence': -0.002869933713, 'final': True}"
True,Permutations,-0.00,4,13,208,"{'confidence': -1.7239736165e-05, 'final': True}"
True,Permutations,-0.00,4,20,208,"{'confidence': -0.00018725076732, 'final': True}"
True,Permutations,-0.00,4,25,208,"{'confidence': -0.0005731828081650001, 'final': True}"
False,Permutation,-0.12,4,29,208,"{'confidence': -0.12296025521365, 'final': False}"
False,Permutation,-0.12,4,29,208,"{'confidence': -0.12296025521365, 'final': False}"
False,Mark E. Mitchell,-0.00,0,6,60,"{'confidence': -0.0008087615533, 'final': False}"
True,Mark E. Mitchell,-0.00,0,11,60,"{'confidence': -0.000209235322575, 'final': True}"
True,War in Afghanistan (2001–2021),-0.00,0,19,60,"{'confidence': -0.003971437163659001, 'final': True}"
True,War in Afghanistan (2001–2021),-0.02,0,25,60,"{'confidence': -0.024309265136458, 'final': True}"
True,War in Afghanistan (2001–2021),-0.02,0,26,60,"{'confidence': -0.017784114153505, 'final': True}"
True,War in Afghanistan (2001–2021),-0.01,1,6,60,"{'confidence': -0.007754479590728, 'final': True}"
True,War in Afghanistan (2001–2021),-0.01,1,14,60,"{'confidence': -0.011953081054746, 'final': True}"
True,War in Afghanistan (2001–2021),-0.01,1,18,60,"{'confidence': -0.010298094000722999, 'final': True}"
True,War in Afghanistan (2001–2021),-0.01,2,7,60,"{'confidence': -0.008965829800296, 'final': True}"
True,War in Afghanistan (2001–2021),-0.02,2,13,60,"{'confidence': -0.021486308228666005, 'final': True}"
False,War in Afghanistan (2001–2021),-0.08,2,19,60,"{'confidence': -0.08210295151706301, 'final': False}"
False,War in Afghanistan (2001–2021),-0.06,3,5,60,"{'confidence': -0.059219248908669996, 'final': False}"
False,War in Afghanistan (2001–2021),-0.03,3,10,60,"{'confidence': -0.032648292778224994, 'final': False}"
False,War in Afghanistan (2001–present),-0.07,3,13,60,"{'confidence': -0.06967866228216112, 'final': False}"
False,War in Afghanistan (2001–2021),-0.04,4,7,60,"{'confidence': -0.042620664321445, 'final': False}"
False,War in Afghanistan (2001–2021),-0.04,4,13,60,"{'confidence': -0.035028764034733, 'final': False}"
True,War in Afghanistan (2001–2021),-0.00,4,21,60,"{'confidence': -0.002008928840373, 'final': True}"
True,War in Afghanistan (2001–2021),-0.00,4,27,60,"{'confidence': -0.002503105592193, 'final': True}"
True,War in Afghanistan (2001–2021),-0.00,4,33,60,"{'confidence': -0.003439985410065, 'final': True}"
True,War in Afghanistan (2001–2021),-0.00,4,33,60,"{'confidence': -0.003439985410065, 'final': True}"
False,Saintes-Maries-de-la-Mer,-0.00,0,6,217,"{'confidence': -0.0033759397933812497, 'final': False}"
False,Saintes-Maries-de-la-Mer,-0.04,0,11,217,"{'confidence': -0.03963745663216625, 'final': False}"
True,Rhône,-0.01,0,17,217,"{'confidence': -0.006239172074549999, 'final': True}"
True,Rhône,-0.01,1,5,217,"{'confidence': -0.0073896433522000005, 'final': True}"
True,Rhône,-0.01,1,10,217,"{'confidence': -0.0079624620439, 'final': True}"
True,Rhône,-0.00,1,12,217,"{'confidence': -0.0018906110876666668, 'final': True}"
True,Rhône,-0.00,2,5,217,"{'confidence': -0.0010805216413666667, 'final': True}"
True,Rhône,-0.00,2,11,217,"{'confidence': -0.00048695481455000004, 'final': True}"
True,Rhône,-0.00,2,17,217,"{'confidence': -0.0007603119387766666, 'final': True}"
True,Rhine,-0.00,3,5,217,"{'confidence': -7.524638164999999e-06, 'final': True}"
True,Rhône,-0.00,3,12,217,"{'confidence': -0.0021108795881666664, 'final': True}"
True,Rhône,-0.00,3,13,217,"{'confidence': -9.679102633333333e-05, 'final': True}"
True,Rhône,-0.00,4,6,217,"{'confidence': -0.0008806414267166666, 'final': True}"
True,Rhône,-0.00,4,10,217,"{'confidence': -0.004815174487966666, 'final': True}"
True,Rhône,-0.00,4,15,217,"{'confidence': -0.0025701939891666667, 'final': True}"
False,Rhône River,-0.08,4,16,217,"{'confidence': -0.079918005666875, 'final': False}"
True,Rhône,-0.01,5,7,217,"{'confidence': -0.009885198549766666, 'final': True}"
True,Rhône,-0.00,5,13,217,"{'confidence': -0.004618823, 'final': True}"
True,Rhône,-0.00,5,15,217,"{'confidence': -0.003663508333333333, 'final': True}"
True,Rhône,-0.00,5,15,217,"{'confidence': -0.003663508333333333, 'final': True}"
False,The Birds (story),-0.00,0,7,28,"{'confidence': -0.00142753771192, 'final': False}"
False,The Breaking Point (short story collection),-0.13,0,13,28,"{'confidence': -0.130562915454325, 'final': False}"
False,Daphne du Maurier,-0.06,0,19,28,"{'confidence': -0.06093353003470501, 'final': False}"
False,The Birds (story),-0.04,0,21,28,"{'confidence': -0.039473187164, 'final': False}"
False,The Birds (story),-0.03,1,6,28,"{'confidence': -0.0345413201352, 'final': False}"
True,The Birds (story),-0.02,1,13,28,"{'confidence': -0.024695339497719997, 'final': True}"
False,The Birds (story),-0.07,1,18,28,"{'confidence': -0.06797222837736, 'final': False}"
False,Don't Look Now,-0.11,1,26,28,"{'confidence': -0.10657795859241251, 'final': False}"
True,Don't Look Now,-0.01,2,7,28,"{'confidence': -0.0076555980775, 'final': True}"
True,Don't Look Now,-0.01,2,12,28,"{'confidence': -0.0064716250115, 'final': True}"
False,Don't Look Now,-0.05,2,13,28,"{'confidence': -0.04610123475725, 'final': False}"
False,Don't Look Now,-0.04,3,7,28,"{'confidence': -0.040905124476000004, 'final': False}"
True,Don't Look Now,-0.01,3,13,28,"{'confidence': -0.00673149048525, 'final': True}"
False,The Birds (story),-0.22,3,18,28,"{'confidence': -0.22303054296359998, 'final': False}"
False,The Birds (story),-0.14,3,24,28,"{'confidence': -0.1400395228874, 'final': False}"
True,Don't Look Now,-0.02,3,30,28,"{'confidence': -0.018992231667325003, 'final': True}"
True,Don't Look Now,-0.01,4,7,28,"{'confidence': -0.00699535620175, 'final': True}"
True,Death in Venice,-0.00,4,11,28,"{'confidence': -2.999452838333333e-05, 'final': True}"
True,Death in Venice,-0.00,4,16,28,"{'confidence': -2.9756120216666663e-05, 'final': True}"
True,Death in Venice,-0.00,4,16,28,"{'confidence': -2.9756120216666663e-05, 'final': True}"
False,Francis Bacon (artist),-0.00,0,8,112,"{'confidence': -0.002797920960675, 'final': False}"
False,Francis Bacon (artist),-0.21,0,16,112,"{'confidence': -0.21450590722641663, 'final': False}"
False,None,-0.04,0,20,112,"{'confidence': -0.041585658, 'final': False}"
False,Salvador Dalí,-0.11,1,7,112,"{'confidence': -0.11340475345606, 'final': False}"
False,Salvador Dalí,-0.04,1,15,112,"{'confidence': -0.044050066754927994, 'final': False}"
