id,answer,sent,text
1,Nicolas Poussin,0,"He’s not the painter of A Cotton Office in New Orleans, but that artist copied this artist’s 17th-century depiction of a woman in blue being carried away from a man in yellow in a town square as a man in orange armour and a red cape looks on, a painting now in the Louvre."
1,Nicolas Poussin,1,"He’s not the painter of Primavera, but this artist painted a scene with a woman emerging from the sea with six cherubs floating above her nude form, sitting on a small clamshell drawn by four horses."
1,Nicolas Poussin,2,"He’s not the composer of Primavera, but his Four Seasons cycle appears in the Louvre."
1,Nicolas Poussin,3,"For 10 points, name this Baroque French artist of The Rape of the Sabine Women, The Birth of Venus, Dance to the Music of Time, and Et in Arcadia ego."
2,Tupac Amaru Shakur,0,"He’s not the artist behind 'Street Dreams', but he also sampled Linda Clifford’s “Never Gonna Stop” on a title track of his fourth album."
2,Tupac Amaru Shakur,1,"He’s not not the artist behind “Drive Slow”, but he also sampled Hank Crawford’s Wildflower in a song that considers a “middle-class” subject who “was only 16, yet convicted as a felon”."
2,Tupac Amaru Shakur,2,"He’s not Morgan Spurlock, but a documentary about him facing down bigger threats than a Big Mac was nominated for a 2005 Oscar."
2,Tupac Amaru Shakur,3,"He’s not the Florentine author of The Prince, but he did adopt that author’s name as pseudonym, albeit spelled with a k."
2,Tupac Amaru Shakur,4,"He’s not the last Sapa Inca, but his most well-known pseudonym used that emperor’s given name as a pseudonym, albeit spelled with the number “2”."
2,Tupac Amaru Shakur,5,"For 10 points, name this rapper of “All Eyez on Me” and “Shorty Wanna be a Thug” born Lesane Parish Crooks and murdered in 1996."
3,James David Vance,0,"He’s not a former cornerback for the Chicago Bears, but like Zack Bowman, he was born in the same year with the same last name, making him the first millenial to hold his current position."
3,James David Vance,1,"He’s not Doug Emhoff, but he’s married to a woman born in California whose mother came from a city with a sizeable population that speaks Telugu."
3,James David Vance,2,"He’s not the subject of a work by Liudprand of Cremona, but 2025 jokes insinuated that he was responsible for the death of a pope."
3,James David Vance,3,"He’s not the Secretary of Defense, but he complained in a Signalgate chat that he hated “bailing Europe out again”."
3,James David Vance,4,"He’s not the person named to co-chair DOGE with Elon, but he also was born in Ohio and has a JD from Yale University."
3,James David Vance,5,"He’s not Skye Moody, but he authored an elegy to people who live in Appalachia."
3,James David Vance,6,"For 10 points, name this man born James Donald Bowman in Middletown, Ohio, the author of Hillbilly Elegy, the husband of Usha, the current vice president of the United States."
4,Paul Erdös,0,"He’s not the professor of this course, but like Jordan Boyd-Graber, he collaborated with Maria Klawe; in this person’s case on graphs such that the deletion from G of the points in the closed neighborhood results in a complete graph."
4,Paul Erdös,1,"He’s not Alan Turing, but he moved from the United Kingdom to Princeton in the 1930s."
4,Paul Erdös,2,"He’s not Chén Xǐngshēn, but he won the Wolf Prize in 1983."
4,Paul Erdös,3,"He’s not Chebyshev, but he proved Bertrand’s postulate using a simpler technique, a possible candidate for “The Book”, which Aigner and Ziegler dedicated to this man."
4,Paul Erdös,4,"He’s not Hilbert, but he left a list of mathematical problems for others to work out after his death in 1996."
4,Paul Erdös,5,"For 10 points, name this Hungarian mathematician, the only person assigned a value of 0 for his namesake number."
5,Randall Park,0,"He’s not Jon M. Chu, but he directed a 2023 film that opens with a disgruntled guest buying the hotel that she wants to stay at."
5,Randall Park,1,"He’s not Henry Golding, but he plays the romantic partner of a character played by Constance Wu who operates a steakhouse in Florida."
5,Randall Park,2,"He’s not Tim Walz, but he played the governor of Minnesota to whom female presidential candidate Selina Meyer offered the VP slot to."
5,Randall Park,3,"He’s not John Krasinski, but his photo appeared on Jim Halpert’s desk along with Pam Beesly and two kids, causing Dwight Schrute to yell, “You’re not Jim, this is Jim”."
5,Randall Park,4,"For 10 points, name this Korean-American actor and director who directed Shortcomings, was the father in Fresh Off the Boat, who played Danny Cheung on Veep, and portrayed “Asian Jim” on The Office."
39,Skeleton Army,0,"In recent updates, a variant of this formation designates one combatant as a general whose added protection equals that of a standard member like a guard."
39,Skeleton Army,1,"While the guard remains intact, others continue striking targets even after being neutralized, though all such attackers collapse the instant the general is eliminated, after which any survivors behave normally again."
39,Skeleton Army,2,"Those who misread this group’s threat often expend responses prematurely, a problem heightened by newer field options such as a binding effect that immobilizes units in vines and forces immediate reaction."
39,Skeleton Army,3,"Earlier versions were routinely misused by operators who dropped this group directly into focused fire, causing the entire detachment to evaporate on impact."
39,Skeleton Army,4,"Experienced players instead leverage this three costing gang for sudden ambush pressure to steal positive elixir trades."
39,Skeleton Army,5,"For ten points, name this Clash Royale card composed of a massed troop of animated bones."
