final,sentence,evidence,word,page,weight,question
TRUE,1,"{'confidence': 0.7228628167940905, 'final': True}",29," ""Girls Just Wanna Have Fun"" by Cyndi Lauper",0.72,126
TRUE,2,"{'confidence': 0.4521789294613107, 'final': True}",17,"""locations in all 50 states.""",0.45,126
TRUE,2,"{'confidence': 0.6519363099587759, 'final': True}",22,I'm a Slave 4 U,0.65,126
TRUE,3,"{'confidence': 0.8159198449527757, 'final': True}",16,Last Friday Night (T.G.I.F.),0.82,126
TRUE,3,"{'confidence': 0.8159198449527757, 'final': True}",16,Last Friday Night (T.G.I.F.),0.82,126
TRUE,0,"{'confidence': 0.7823150000005878, 'final': True}",18," I'm sorry, but I need more information in order to answer this question. Can you please provide more context or details about the joke you are referring to? Without more information, I cannot provide a complete answer.",0.78,127
TRUE,0,"{'confidence': 0.7853056708744545, 'final': True}",28,"I'm sorry, but I cannot find the answer based on the information provided. Please provide more context or details about the joke or the 2005 superhero film franchise.",0.79,127
TRUE,1,"{'confidence': 0.7052236364466045, 'final': True}",19,"I'm sorry, but I don't have any information about a specific person who is the subject of a popular internet joke involving being a certain quality, and also sharing that quality with Jessica Alba's character in a 2005 superhero film franchise.",0.71,127
TRUE,1,"{'confidence': 0.773194615463919, 'final': True}",32," I'm sorry, but I cannot find the answer based on the context provided. Please provide more information or clarify the question.",0.77,127
TRUE,2,"{'confidence': 0.4336657736799802, 'final': True}",19," the country ""the s**thole of the world.""",0.43,127
TRUE,2,"{'confidence': 0.5730592744298242, 'final': True}",22, I believe you are referring to Ludacris.,0.57,127
TRUE,3,"{'confidence': 0.50653816119208, 'final': True}",12,John Cena,0.51,127
TRUE,3,"{'confidence': 0.50653816119208, 'final': True}",12,John Cena,0.51,127
