final,evidence,question,weight,sentence,word,page
True,"{'confidence': 0.6231346748632784, 'final': True}",167,0.62,7,1," 作者：刘慈欣
类型：科幻小说
出版年份：2014年
页数：400页
定价：39.8元
装帧：平装
丛书：《地球过去的记忆》三部曲
ISBN：9787532762721"
True,"{'confidence': 0.8322373759178061, 'final': True}",167,0.83,8,3, 《三体》系列小说的第一部续集《黑暗森林》开始了一个新的故事，描述了“蚊子舰队”的形成和四名被选中参加“面壁者计划”的人的故事。 这部小说本身讲述了对一艘名为“审判日”的船只的袭击，导致了古怪的迈克·埃文斯的死亡。 在描述了诺伯特·韦纳在与海盗作战时的死后，约翰·冯·诺依曼为皇帝制造了一台“
True,"{'confidence': 0.8322373759178061, 'final': True}",167,0.83,8,3, 《三体》系列小说的第一部续集《黑暗森林》开始了一个新的故事，描述了“蚊子舰队”的形成和四名被选中参加“面壁者计划”的人的故事。 这部小说本身讲述了对一艘名为“审判日”的船只的袭击，导致了古怪的迈克·埃文斯的死亡。 在描述了诺伯特·韦纳在与海盗作战时的死后，约翰·冯·诺依曼为皇帝制造了一台“
True,"{'confidence': 0.5782226139540573, 'final': True}",168,0.58,0,3, 请问是哪部作品中的故事？
True,"{'confidence': 0.558290225610279, 'final': True}",168,0.56,1,1, 请问是哪个故事的剧情？
True,"{'confidence': 0.5382724685734467, 'final': True}",168,0.54,2,2, 请问你是谁？
True,"{'confidence': 0.558210174103535, 'final': True}",168,0.56,3,5, 这个人是谁？
True,"{'confidence': 0.5562839086864908, 'final': True}",168,0.56,4,1, 这个人是李白。
True,"{'confidence': 0.6671627848168908, 'final': True}",168,0.67,5,2, 这个人是关羽。
True,"{'confidence': 0.6671627848168908, 'final': True}",168,0.67,5,2, 这个人是关羽。
True,"{'confidence': 0.4344032585062252, 'final': True}",169,0.43,0,1, 这部电影很好看。
True,"{'confidence': 0.9073349102014532, 'final': True}",169,0.91,1,2, 这部电影中的一位女演员即兴创作了一个场景，其中两个角色一边模仿鸡一边讨论埃莉诺的行动。
True,"{'confidence': 0.594163432259427, 'final': True}",169,0.59,2,9, 《Can't Help Falling in Love》是美国歌手埃尔维斯·普雷斯利（Elvis Presley）在1961年发行的歌曲。歌曲的旋律优美，歌词深情，成为经典的爱情歌曲之一。歌曲的旋律也被广泛地使用在电影、电视剧等影视作品中。
True,"{'confidence': 0.4755910849761203, 'final': True}",169,0.48,3,3, 请问你在说什么？
True,"{'confidence': 0.324304175958134, 'final': True}",169,0.32,4,7, 《寻找新家》
True,"{'confidence': 0.324304175958134, 'final': True}",169,0.32,4,7, 《寻找新家》
