ID,Statement Number,Word Count,Sentence Number,Chunk ID,Chunk,Answer,Confidence Score,Answered?
14,14,51,5," Over the history of the Star Trek universe, the Federation gets better and better at creating synthetic food. In Captain Pike's day, the food synthesizers build meals out of glucose matrix; by the 31st century depicted in Discovery, the Federation could craft near-perfect simulations of real food out of quantum foam.",f8e83d8a,"Um, actually, food simulations in the 31st century in *Star Trek: Discovery* are not crafted from quantum foam. There is no canonical evidence to suggest this; advanced replication technology creates matter but does not explicitly use quantum foam as a basis.",-0.6110985566024175,No
15,15,20,2, Blue milk is enjoyed in the Star Wars universe by heroes and villains alike. Luke Skywalker drank it as a,1ac88fa8,"Um, actually, Luke Skywalker was not a young boy when he drank blue milk in *Star Wars: Episode IV - A New Hope.* He was a young adult at the time, not a child.",-0.17264517508020427,Yes
16,16,43,3," In ""Our Town,"" a particularly gruesome X-Files episode, Mulder and Scully investigate an Arkansas chicken processing plant, where human beings are slaughtered by the evil Cigarette Smoking Man and his allies in the Syndicate and turned into food slurry for future alien colonists.",d1c72960,"Um, actually, in ""Our Town,"" while Mulder and Scully investigate an Arkansas chicken processing plant, the plot involves a secret cannibalistic cult and not the Cigarette Smoking Man, the Syndicate, humans being slaughtered, or food slurry for alien colonists.",-0.2647591737215111,Yes
17,17,54,6," In slice-of-life movie ""Only Yesterday,"" Taeko recalls her father bringing home a pineapple, an exotic fruit that no one in the family knows how to curve. By the time they learn how to serve it, it's partially rotten and a huge disappointment. This happens in 1966, the same year the Beatles came to Japan.",55837320,"Um, actually, the memory of Taeko's father bringing home a pineapple in ""Only Yesterday"" is not explicitly stated to take place in 1966. While the Beatles did visit Japan in 1966, there is no direct confirmation that the memory in the movie aligns with the same year.",-0.3079060249400115,Yes
18,18,10,1," Despite appearing in 137 episodes of fandom-themed game show ""Um,",7f2e904c,"Um, actually, the show ""Um, Actually"" has not reached 137 episodes, as it had 104 main episodes as of its latest information. Also, no one has appeared in all 137 episodes, as there have been fewer episodes and a few were guest-hosted.",-0.32026243145525146,Yes
19,19,15,1," Although we've all seen old-timey shows where soldiers and pirates clean their wounds with whiskey,",bf371c96,"Um, actually, while soldiers have historically used whiskey to clean wounds in some cases, pirates did not commonly use whiskey for this purpose. Pirates were more likely to have access to rum rather than whiskey, and such practices were not standard or effective treatment.",-0.39463599870551297,Yes
20,20,35,3," While you've definitely heard the classic monster party song ""The Monster Mash,"" you may not know that the song's singer and creator, Bobby ""Boris"" Pickett, spent the rest of his career creating other monster-themed songs,",293cfa5d,"Um, actually, Bobby ""Boris"" Pickett did not spend the rest of his career solely creating other monster-themed songs. While he is best known for ""The Monster Mash"" and did create a few others with similar themes, his career also included acting, comedy, and other non-monster-related work.",-0.2939185136434367,Yes
21,21,31,3," Only seven years after the team was first introduced in DC comics, The Justice League made their TV debut in 1967 as part of Filmmation's ""Superman/Aquaman Hour of Adventure"" show. However,",32b24d51,"Um, actually, the Justice League made their TV debut in 1967, not 1960, as part of Filmmation's ""The Superman/Aquaman Hour of Adventure.""",-0.07812454043237763,Yes
22,22,47,3," The SNES game The Legend of Zelda: A Link To The Past has our hero Link traveling between the light world and it's corresponding dark world locations. The Skeleton Forest is the Dark World's reflection of the Lost Woods, and the final battle is in Ganon's tower,",f5f9fcb5,"Um, actually, the final battle in *The Legend of Zelda: A Link to the Past* does not take place in Ganon's Tower. It takes place on top of the Pyramid of Power in the Dark World after navigating through Ganon's Tower.",-0.07762751005695577,Yes
23,23,59,4," Pinball was illegal in much of the country for many years due to its reputation as a gambling game. In 1976, Roger Sharpe demonstrated to a Manhattan court that Pinball had over the years become a game of skill by making a called shot that he himself considers pretty lucky. The ban in New York City was lifted immediately,",31f33a27,"Um, actually, the ban on pinball in New York City was not lifted immediately after Roger Sharpe's demonstration in 1976. It took months for the City Council to vote and officially legalize pinball machines later that year.",-0.04972948512854772,Yes
24,24,20,2," In the summer of 2023, the James Webb Space Telescope team at NASA discovered what looks like a ""question mark""",1f582944,"Um, actually, the ""question mark"" was not specifically discovered by the James Webb Space Telescope team but was noticed by the public in an image released by NASA and ESA from the telescope.",-0.14565886881990134,Yes
25,25,28,2," Animal Crossing: New Horizon is the number two best selling game of all time on the Nintendo Switch, just after The Legend of Zelda: Breath of the Wild.",78ea6f7c,"Um, actually, Animal Crossing: New Horizons is the second best-selling game on the Nintendo Switch, but the top-selling game is Mario Kart 8 Deluxe, not The Legend of Zelda: Breath of the Wild.",-0.10113376199460235,Yes
26,26,28,3," Bugs Bunny didn't just deploy his famous drag personas for his own amusement. He also used them to arouse and befuddle various racists and would-be conquerors, including Napoleon,",2deddb0d,"Um, actually, Bugs Bunny did not explicitly use drag personas to arouse or befuddle Napoleon in ""Napoleon Bunny-Part."" While Bugs used clever tactics, drag was not among them in that cartoon.",-0.3451339838279793,Yes
27,27,34,3," Mortal Kombat is beloved for its intense finishers, but it isn't all fatalities! A Quitality is an online-only finisher that makes the quitting player explode, Babalities turn the losing enemy into a smoking-hot babe,",5b7c891e,"Um, actually, Babalities in Mortal Kombat turn the losing enemy into a baby, not a ""smoking-hot babe.""",-0.0011008596516474073,Yes
28,28,38,3," In the notorious gender-bending Star Trek: The Next Generation episode ""Angel One,"" the Enterprise visits the title planet, a matriarchy where women rule and men are subservient, and the crew must adapt to their local customs and clothing.",37159cf0,"Um, actually, the crew of the Enterprise does not have to adapt to local customs or clothing on Angel One. While they engage with the matriarchal society diplomatically, they are not shown altering their attire or customs.",-0.11600880404438874,Yes
29,29,25,3," Removing makeup can be a real pain, but according to dermatologists, there are some ways to make it a little easier without hurting your skin.",27adbc4c,"Um, actually, the statement does not mention any specific dermatologists or provide the methods they recommend for removing makeup more easily.",-0.6854116690652259,No
29,29,48,5," Removing makeup can be a real pain, but according to dermatologists, there are some ways to make it a little easier without hurting your skin. Using your hands instead of a washcloth can avoid irritating the skin, avoiding oil-based cleaners will keep your skin from becoming too oily,",de6801f6,"Um, actually, avoiding oil-based cleaners does not necessarily prevent the skin from becoming too oily. Oil-based cleansers can help balance oil production and dissolve excess oils. Stripping the skin of all oils can potentially lead to overproduction of oil.",-0.35406131779148775,Yes
30,30,28,3," In the Halo video game series, the alien alliance known as the Covenant marks their history in the following order; The Age of Abandonment, The Age of Conflict,",c08155bf,"Um, actually, ""The Age of Conflict"" is not an official historical phase in the Covenant's lore. The correct sequence includes ""The Age of Abandonment,"" but ""The Age of Conflict"" should be replaced by phases like ""The Age of Discovery"" or ""The Age of Reconciliation.""",-0.1580034608399828,Yes
31,31,5,1, When the US company World,fd857453,The statement is incomplete and does not contain verifiable information.,-0.17522508561855418,Yes
32,32,55,6," Conker's Bad Fur Day isn't your typical video game. You play as Conker, a squirrel, who starts the game hungover from a night of drinking. One of the bosses he fights is The Great Mighty Poo, who is an opera singing piece of feces with toilet paper rolls as teeth that lives in Poo Mountain.",39c0ebb9,"Um, actually, The Great Mighty Poo does not have toilet paper rolls as teeth; it has corn kernels as teeth.",-0.0067402498289112,Yes
33,33,24,1, Bloons Tower Defense 6 is a game where you strategically place monkeys around a map and help defend against evil ballons known as Bloons.,018a6930,"Um, actually, the balloons in Bloons Tower Defense 6, known as Bloons, are not explicitly referred to as ""evil"" within the game.",-0.006259188198079687,Yes
34,34,45,5," In 1987, the G.I. Joe team almost had a surprising new member: Rocky Balboa! Yes, Hasbro planned to release a Rocky figure in the G.I. Joe toyline with Sylvester Stallone's likeness and a Cobra boxer for him to fight! And while neither figure was released,",b255ca43,"Um, actually, the statement is incorrect about both figures not being released. While the Rocky Balboa figure was canceled, the Cobra boxer figure, Big Boa, was released independently as part of the Cobra lineup.",-0.1637630277455774,Yes
35,35,12,2," Regardless of your class in Elden Ring, you play as a Depraved,",1711df62,"Um, actually, in ""Elden Ring,"" players are not forced to play as the Depraved (known as the Wretch). They can choose from various starting classes, such as Samurai, Astrologer, or Hero.",-0.13594831690784004,Yes
36,36,35,2," In the first episode of the 1980s cartoon Thundercats, ""Exodus,"" the nobility of the planet of Thundera is forced to escape their exploding planet in the Royal Flagship with little more than their ceremonial robes.",8f7ddf88,"Um, actually, the planet Thundera is not explicitly shown exploding in the first episode, ""Exodus."" Its destruction is mentioned, but the show does not depict the explosion on-screen.",-0.30510725800633326,Yes
37,37,16,4," Casper the Friendly Ghost's closest relatives are his uncles, the Ghostly Trio, originally named Fatso, Fusso,",74b5440d,"Um, actually, Casper the Friendly Ghost's uncles, the Ghostly Trio, were originally named Fatso, Stinky, and Stretch, not Fatso and Fusso. Additionally, the contemporary names are Fatso, Stretch, and Stinkie.",-0.2648027712079346,Yes
39,39,17,2," Whether it's from a wrestling match or an extremely intense DDR session, muscle injuries are the worst.",de77928c,"Um, actually, muscle injuries are not universally considered among the worst types of injuries. While they can be painful, injuries like traumatic brain injuries and spinal cord injuries are generally more severe.",-0.27487450417724324,Yes
40,40,27,2," On ""Doctor Who,"" The Doctor and his various companions travel through time on the TARDIS, with each episode focused on seeing Earth throughout many different time periods.",13fb7795,"Um, actually, not every episode of ""Doctor Who"" is focused on seeing Earth throughout many different time periods. The show also explores alien planets, spaceships, and other locations in the universe.",-0.035346251737745006,Yes
41,41,27,2," In the first video game in the Resident Evil series, players fight off zombies and other creatures scientifically created in labs by Cyberdyne Systems in Raccoon City.",b18bea4f,"Um, actually, the creatures in the first Resident Evil game were created by the Umbrella Corporation, not Cyberdyne Systems. Additionally, the game is primarily set in the Spencer Mansion, not in Raccoon City.",-0.09321513566169555,Yes
42,42,11,2," When it comes to Superman, the letter ""L"" stands for ""love"".",cf1a2603,"Um, actually, the letter ""L"" is not explicitly associated with ""love"" in the Superman universe. It is more commonly associated with the recurring pattern of character names like Lois Lane, Lex Luthor, and Lana Lang.",-0.29094358914829893,Yes
43,43,24,2," In Super Mario 64, Mario enters paintings in Princess Peach's Castle in order to collect the 120 Power Stars required to rescue the princess.",56838525,"Um, actually, rescuing Princess Peach in Super Mario 64 does not require collecting all 120 Power Stars. It only requires defeating Bowser in the final stage, which requires a minimum of 70 Power Stars.",-0.08151818272462273,Yes
44,44,17,2," The events of the ""John Wick"" film series, based on the graphic novel of the same name,",f33272ad,"Um, actually, the ""John Wick"" film series is not based on a graphic novel. It is an original concept created by screenwriter Derek Kolstad, and while there is a graphic novel titled ""John Wick,"" it was published after the films were released.",-0.06035890715161849,Yes
45,45,17,2," In the world of the Hitchhiker's Guide to the Galaxy, there are a lot of swear words,",b3f41946,"Um, actually, while there are some humorous and fictional swear words like ""Belgium"" and ""zark,"" there are not a lot of swear words in the world of ""The Hitchhiker's Guide to the Galaxy."" The story often avoids traditional profanity.",-0.4601506850477326,Yes
46,46,29,4," Tabletop games like Dungeons and Dragons, Warhammer, Magic the Gathering, and Monopoly are all similar because they each require dice and miniatures that can move around during their gameplay.",af60279f,"Um, actually, not all these games require both dice and miniatures for gameplay. Magic: The Gathering does not use dice or miniatures, and Monopoly uses dice but does not involve miniatures that move strategically.",-0.2603013069719681,Yes
47,47,18,1, After being rescued from a pod full of goo designed to keep his brain his brain busy so,b6471661,"Um, actually, the statement does not specify that the rescue was performed by Morpheus and his crew or reference ""The Matrix."" It leaves the details about the rescuer and the context ambiguous.",-0.6187375134568149,No
47,47,47,2," After being rescued from a pod full of goo designed to keep his brain his brain busy so the Machines could use him as part of a neural network they control, Neo learns that his whole life has been lived in a computer simulation called the Matrix.",3a18df25,"Um, actually, the pod was not designed to keep Neo's brain busy; it was designed to house his body and extract bioelectric and thermal energy to power the Machines, while the Matrix simulation kept his brain occupied. Additionally, the Machines do not use humans as part of a neural network they control; they use humans as energy sources.",-0.053026205311653966,Yes
48,48,57,4," While the original Star Trek TV series theme song is iconic, many people don't realize that it actually has lyrics! The seldom-heard words, written by the song's composer Alexander Courage, include the immortal lines: 
Beyond the rim of the star light
My love is wondering in star flight
I know he'll find in star clustered reaches
Love,",6e0d45d0,"Um, actually, Alexander Courage did not write the lyrics to the original Star Trek TV series theme song. The lyrics were written by Gene Roddenberry, not by Courage.",-0.09332916720341429,Yes
49,49,49,4," Having trouble studying all those nerd-culture facts before Um, Actually? Try the Pomodoro Technique! Developed by Fanscesco Cirillo in the '80s, it originally used a tomato-shaped kitchen timer to help maintain focus while working or studying. You can set the timer for the standard pomodoro length of 55 minutes,",3abd3639,"Um, actually, the standard Pomodoro Technique length is 25 minutes, not 55 minutes.",-0.0001617603811025,Yes
50,50,41,3," When the King of All Cosmos drunkenly destroys the stars in Katamari Damacy, his actions don't go unnoticed on earth. The Hoshino Family observes news reports about disappearing stars as they travel to visit astronaut patriarch Tomino for a rocket launch.",909044c8,"Um, actually, the Hoshino Family, astronaut patriarch Tomino, and the storyline involving disappearing stars and a rocket launch are all elements from *We Love Katamari*, not *Katamari Damacy*. The original *Katamari Damacy* focuses on the Prince rolling katamaris to restore celestial bodies destroyed by the King of All Cosmos, without any involvement of the Hoshino Family or a rocket launch.",-0.2423510246625258,Yes
51,51,28,2," The TV series Yellowjackets follows the Yellowjacket's girl's soccer team after a plane crash that strands them in the forest for 19 months. As the months drag on,",ec55a427,"Um, actually, the statement incorrectly claims that the characters are stranded in the forest for 19 months. The exact duration of their time in the wilderness is not definitively confirmed in the series, and further context is required.",-0.4528049402717778,Yes
52,52,3,1," In ""Alien vs.",3589dd90,The statement is incomplete. Could you please provide the full statement?,-0.31164867500000004,Yes
54,54,35,6," As the name implies, Linda Medley's graphic novel Castle Waiting takes place in Sleeping Beauty's formerly enchanted castle. The inhabitants include famous literary or legendary characters like Iron Henry, the golden-egg-laying goose, plague-mask-wearing Dr. Fell,",0d071a9b,"Um, actually, *Castle Waiting* does not include a golden-egg-laying goose as a character.",-0.0006418714549845454,Yes
55,55,28,2," After the success of Episode 1 – The Phantom Menace, George Lucas released the special edition of the original Star Wars trilogy with a number of controversial changes,",b0f91433,"Um, actually, George Lucas released the special edition of the original Star Wars trilogy in 1997, two years before the release of *Episode I – The Phantom Menace*, not after its success.",-0.03780286318122805,Yes
56,56,10,1," Six Flags might have parks all over the country now,",86ada86e,"Um, actually, Six Flags does not have parks all over the country; it has parks in several states, but not in every state.",-0.14455888003060532,Yes
57,57,62,6," The original Planet of the Apes ends with a wild twist: A shot of the ruined Statue of Liberty, showing what we believe is an alien world is, in fact, Earth. Tim Burton's 2001 remake updates this twist by making the planet an alien world but when Mark Wahlberg returns to Earth, he finds that the Statue of Liberty is an ape.",d4edbd37,"Um, actually, the 2001 remake of *Planet of the Apes* does not depict the Statue of Liberty as an ape when Mark Wahlberg's character returns to Earth. Instead, the twist reveals the Lincoln Memorial replaced with a statue of General Thade.",-0.1658428387326478,Yes
