ID,Word Count,Statement,Answer,Confidence Score,Answered?
32,55,"Conker's Bad Fur Day isn't your typical video game. You play as Conker, a squirrel, who starts the game hungover from a night of drinking. One of the bosses he fights is The Great Mighty Poo, who is an opera singing piece of feces with toilet paper rolls as teeth that lives in Poo Mountain.",Error,-100,No
33,42,"Bloons Tower Defense 6 is a game where you strategically place monkeys around a map and help defend against evil ballons known as Bloons. Monkey towers are divided into different categories, such as Primary Monkeys, Military Monkeys, Magic Monkeys, and Support Monkeys.",Error,-100,No
34,83,"In 1987, the G.I. Joe team almost had a surprising new member: Rocky Balboa! Yes, Hasbro planned to release a Rocky figure in the G.I. Joe toyline with Sylvester Stallone's likeness and a Cobra boxer for him to fight! And while neither figure was released, Rocky did get a Joe character profile in Marvel Comics' G.I. Joe Order of Battle #2, only for the next issue to have a retraction stating ""ROCKY is not and has never been a member of G.I. Joe.""",Error,-100,No
35,55,"Regardless of your class in Elden Ring, you play as a Depraved, a member of a group of outcasts who are meant to ascend to Elden Lordship. The Depraved are descended from the first Elden Lord Godfrey and his warriors after Marika deprived them of grace - but it is unknown why Marika exciled them.",Error,-100,No
36,64,"In the first episode of the 1980s cartoon Thundercats, ""Exodus,"" the nobility of the planet of Thundera is forced to escape their exploding planet in the Royal Flagship with little more than their ceremonial robes. Luckily, Thundera's greatest warrior, Jaga, is able to provide them with new uniforms and some unique weapons that will help them adapt to their newly adopted planet, Third Earth.",Error,-100,No
37,59,"Casper the Friendly Ghost's closest relatives are his uncles, the Ghostly Trio, originally named Fatso, Fusso, and Lazo then renamed Strech, Fatso, and Stinkie. The trio hates humans, whom they call ""fleshies"" and ""bonebags,"" but provided quite profitable for Harvey Comics, which claimed the Ghostbusters logo infringed on Fatso's likeness and won a $50 million lawsuit against Columbia Pictures.",Error,-100,No
38,60,"In 2008, a seemingly simple counting problem tore apart the Bodybuilding.com user forum. Users with names like ""scrawny2studly"" simply could not agree on the basic math of how many total reps you would rack up over multiple sets, leading to furious arguments and sick burns like ""On your way back from work, stop by a 2nd grade class and learn.""",Error,-100,No
39,58,"Whether it's from a wrestling match or an extremely intense DDR session, muscle injuries are the worst. After the injury, should you ice it, or heat it up? Turns out, both! You should ice your injuries for 20 minutes, followed immediately with a heat treatment. Heat can also be used on chronic conditions and regular aches and pains.",Error,-100,No
40,27,"On ""Doctor Who,"" The Doctor and his various companions travel through time on the TARDIS, with each episode focused on seeing Earth throughout many different time periods.",Error,-100,No
41,27,"In the first video game in the Resident Evil series, players fight off zombies and other creatures scientifically created in labs by Cyberdyne Systems in Raccoon City.",Error,-100,No
42,35,"When it comes to Superman, the letter ""L"" stands for ""love"". The hero's romantic entanglements include readhead Lana Lang, the blonde Kara Zor-El, who is his fellow Kryptonian, and of course the brunette Lois Lane.",Error,-100,No
43,57,"In Super Mario 64, Mario enters paintings in Princess Peach's Castle in order to collect the 120 Power Stars required to rescue the princess. Big Boo's Haunt is unique among the 15 main courses as the only level that Mario enters through an enemy. The level's entrance can be found inside a Boo enemy in the courtyard.",Error,-100,No
44,74,"The events of the ""John Wick"" film series, based on the graphic novel of the same name, begin with the death of a dog. Daisy is a puppy given to John by his wife, Helen, posthumously, because she knew that he would need help coping with his grief. When the dog is killed by a thug during a successful theft of John's Mustang, John Wick returns to his former life as an assassin/hit man.",Error,-100,No
45,56,"In the world of the Hitchhiker's Guide to the Galaxy, there are a lot of swear words, including ""joojooflop,"" ""swut,"" and ""turlingdrome."" But the most foul curse word anyone can imagine is ""Belgium,"" which cannot be published except in serious screenplays for artsy movies. Earth was destroyed because we named a country after this taboo word.",Error,-100,No
46,29,"Tabletop games like Dungeons and Dragons, Warhammer, Magic the Gathering, and Monopoly are all similar because they each require dice and miniatures that can move around during their gameplay.",Error,-100,No
47,68,"After being rescued from a pod full of goo designed to keep his brain his brain busy so the Machines could use him as part of a neural network they control, Neo learns that his whole life has been lived in a computer simulation called the Matrix. Soon after, he has kung fu powers uploaded to his mind and battles a series of sentient programs to free humanity.",Error,-100,No
48,63,"While the original Star Trek TV series theme song is iconic, many people don't realize that it actually has lyrics! The seldom-heard words, written by the song's composer Alexander Courage, include the immortal lines: 
Beyond the rim of the star light
My love is wondering in star flight
I know he'll find in star clustered reaches
Love, strange love, a star woman teaches",Error,-100,No
49,85,"Having trouble studying all those nerd-culture facts before Um, Actually? Try the Pomodoro Technique! Developed by Fanscesco Cirillo in the '80s, it originally used a tomato-shaped kitchen timer to help maintain focus while working or studying. You can set the timer for the standard pomodoro length of 55 minutes, and focus entirely on the task at hand. Once the timer rings, you get a 5-10 minute break before starting over. After repeating a ""set"" of four pomodoros, you get a long break of 20-30 minutes!",Error,-100,No
50,62,"When the King of All Cosmos drunkenly destroys the stars in Katamari Damacy, his actions don't go unnoticed on earth. The Hoshino Family observes news reports about disappearing stars as they travel to visit astronaut patriarch Tomino for a rocket launch. At the end of the game, they gather on the now-barren Earth to appreciate the new cosmos the Prince has created.",Error,-100,No
51,56,"The TV series Yellowjackets follows the Yellowjacket's girl's soccer team after a plane crash that strands them in the forest for 19 months. As the months drag on, more and more survivors die, including Laura Lee, who finds a small plane and tries to pilot it out of the wilderness, but crashes into a nearby lake.",Error,-100,No
52,24,"In ""Alien vs. Predator: Requiem,"" the Predator-Alien hybrid, aptly named the Predalien, makes its way to a hospital and impregnates a group of cheerleaders.",Error,-100,No
53,51,"The Metal Gear Solid series features many characters with particularly on the nose names related to their abilities. There's Decoy Octopus, a master of disguise, Vamp, a Romanian assassin with seemingly supernatural abilities, Psycho Mantis, a man with psychic abilities, and The Man on Fire, a man that is on fire.",Error,-100,No
54,41,"As the name implies, Linda Medley's graphic novel Castle Waiting takes place in Sleeping Beauty's formerly enchanted castle. The inhabitants include famous literary or legendary characters like Iron Henry, the golden-egg-laying goose, plague-mask-wearing Dr. Fell, and the bearded nun Saint Wilgefortis.",Error,-100,No
55,56,"After the success of Episode 1 – The Phantom Menace, George Lucas released the special edition of the original Star Wars trilogy with a number of controversial changes,  a CG Jabba the Hutt, for example, and most notoriously, a scene in the Tatooine cantina re-edited to show that the bounty hunter Greedo shot Han Solo first.",Error,-100,No
56,45,"Six Flags might have parks all over the country now, but it's named after its Texas roots. Six Flags refers to the flags of the six nations that have governed Texas: France, Spain, England, Mexico, The Republic of Texas, and the United States of America.",Error,-100,No
57,62,"The original Planet of the Apes ends with a wild twist: A shot of the ruined Statue of Liberty, showing what we believe is an alien world is, in fact, Earth. Tim Burton's 2001 remake updates this twist by making the planet an alien world but when Mark Wahlberg returns to Earth, he finds that the Statue of Liberty is an ape.",Error,-100,No
